No.;Time;Signal Strength;Source;Destination;Protocol;Length;Info;;;;
4;0.108405663;-56 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=78/19968, ttl=64 (no response found!);192.168.1.105;;-56 dBm;
5;0.137550205;-51 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=78/19968, ttl=64 (reply in 6);192.168.1.105;;-51 dBm;
6;0.144892249;-51 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=78/19968, ttl=64 (request in 5);192.168.1.105;;-51 dBm;
8;0.247514318;-70 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=44/11264, ttl=64 (no response found!);;192.168.1.109;;-70 dBm
9;0.249489927;-51 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=44/11264, ttl=64 (reply in 10);;192.168.1.109;;-51 dBm
10;0.254132129;-52 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=44/11264, ttl=64 (request in 9);;192.168.1.109;;-52 dBm
26;1.109.741.535;-55 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=79/20224, ttl=64 (no response found!);192.168.1.105;;-55 dBm;
27;1.111.732.336;-50 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=79/20224, ttl=64 (reply in 28);192.168.1.105;;-50 dBm;
28;1.116.335.728;-49 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=79/20224, ttl=64 (request in 27);192.168.1.105;;-49 dBm;
29;1.250.027.293;-72 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=45/11520, ttl=64 (no response found!);;192.168.1.109;;-72 dBm
30;1.251.595.310;-46 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=45/11520, ttl=64 (reply in 31);;192.168.1.109;;-46 dBm
31;1.256.457.772;-47 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=45/11520, ttl=64 (request in 30);;192.168.1.109;;-47 dBm
40;2.111.391.976;-56 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=80/20480, ttl=64 (no response found!);192.168.1.105;;-56 dBm;
41;2.306.900.660;;192.168.1.105;192.168.1.100;ICMP;162;Echo (ping) request  id=0x0b53, seq=80/20480, ttl=64 (reply in 43);192.168.1.105;;0;
42;2.306.927.131;-49 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=46/11776, ttl=64 (reply in 44);;192.168.1.109;;-49 dBm
43;2.312.412.091;-49 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=80/20480, ttl=64 (request in 41);192.168.1.105;;-49 dBm;
44;2.312.448.160;-48 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=46/11776, ttl=64 (request in 42);;192.168.1.109;;-48 dBm
56;3.115.564.435;-56 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=81/20736, ttl=64 (no response found!);192.168.1.105;;-56 dBm;
57;3.115.588.307;-57 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=81/20736, ttl=64 (no response found!);192.168.1.105;;-57 dBm;
58;3.116.597.405;-52 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=81/20736, ttl=64 (reply in 59);192.168.1.105;;-52 dBm;
59;3.120.979.164;-52 dBm;192.168.1.100;192.168.1.105;ICMP;161;Echo (ping) reply    id=0x0b53, seq=81/20736, ttl=64 (request in 58);192.168.1.105;;-52 dBm;
60;3.251.956.087;-70 dBm;192.168.1.109;192.168.1.100;ICMP;172;Echo (ping) request  id=0x0a97, seq=47/12032, ttl=64 (no response found!);;192.168.1.109;;-70 dBm
61;3.253.330.088;-47 dBm;192.168.1.109;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0a97, seq=47/12032, ttl=64 (reply in 62);;192.168.1.109;;-47 dBm
62;3.257.627.740;-48 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=47/12032, ttl=64 (request in 61);;192.168.1.109;;-48 dBm
63;3.257.652.545;-47 dBm;192.168.1.100;192.168.1.109;ICMP;161;Echo (ping) reply    id=0x0a97, seq=47/12032, ttl=64;;192.168.1.109;;-47 dBm
82;4.115.000.230;-57 dBm;192.168.1.105;192.168.1.100;ICMP;161;Echo (ping) request  id=0x0b53, seq=82/20992, ttl=64 (no response found!);192.168.1.105;;-57 dBm;
