S1A1;S2A1;S1B1;S2B1
-56 dBm;-70 dBm;-78 dBm;-78 dBm
-51 dBm;-51 dBm;-52 dBm;-51 dBm
-51 dBm;-52 dBm;-55 dBm;-72 dBm
-55 dBm;-72 dBm;-50 dBm;-50 dBm
-50 dBm;-46 dBm;-76 dBm;-50 dBm
-49 dBm;-47 dBm;-76 dBm;-50 dBm
-56 dBm;-49 dBm;-50 dBm;-50 dBm
-49 dBm;-48 dBm;-56 dBm;-50 dBm
-56 dBm;-70 dBm;-48 dBm;-50 dBm
-57 dBm;-47 dBm;-76 dBm;-78 dBm
-52 dBm;-48 dBm;-47 dBm;-77 dBm
-52 dBm;-47 dBm;-57 dBm;-50 dBm
-57 dBm;-72 dBm;-50 dBm;-72 dBm
-57 dBm;-51 dBm;-50 dBm;-48 dBm
-50 dBm;-50 dBm;-50 dBm;-76 dBm
-56 dBm;-71 dBm;-77 dBm;-44 dBm
-50 dBm;-50 dBm;-77 dBm;-70 dBm
-56 dBm;-75 dBm;-49 dBm;-50 dBm
-50 dBm;-51 dBm;-56 dBm;-78 dBm
-59 dBm;-71 dBm;-49 dBm;-49 dBm
-50 dBm;-50 dBm;-49 dBm;-70 dBm
-50 dBm;-50 dBm;-49 dBm;-52 dBm
-50 dBm;-71 dBm;-49 dBm;-51 dBm
-56 dBm;-50 dBm;-48 dBm;-51 dBm
-50 dBm;-76 dBm;-77 dBm;-51 dBm
-50 dBm;-51 dBm;-52 dBm;-51 dBm
-57 dBm;-71 dBm;-58 dBm;-51 dBm
-75 dBm;-50 dBm;-49 dBm;-78 dBm
-59 dBm;-50 dBm;-50 dBm;-48 dBm
-50 dBm;-50 dBm;-78 dBm;-49 dBm
-50 dBm;-51 dBm;-50 dBm;-71 dBm
-50 dBm;-50 dBm;-49 dBm;-50 dBm
-50 dBm;-50 dBm;-57 dBm;-50 dBm
-50 dBm;-51 dBm;-51 dBm;-50 dBm
-50 dBm;-50 dBm;-79 dBm;-50 dBm
-58 dBm;-73 dBm;-50 dBm;-50 dBm
-51 dBm;-73 dBm;-56 dBm;-78 dBm
-51 dBm;-50 dBm;-57 dBm;-51 dBm
-57 dBm;-71 dBm;-51 dBm;-71 dBm
-50 dBm;-71 dBm;-77 dBm;-51 dBm
-76 dBm;-51 dBm;-50 dBm;-51 dBm
-50 dBm;-50 dBm;-61 dBm;-79 dBm
-50 dBm;-50 dBm;-50 dBm;-51 dBm
-51 dBm;-70 dBm;-50 dBm;-71 dBm
-57 dBm;-50 dBm;-50 dBm;-50 dBm
-75 dBm;-50 dBm;-51 dBm;-78 dBm
-51 dBm;-51 dBm;-51 dBm;-51 dBm
-57 dBm;-51 dBm;-79 dBm;-50 dBm
-50 dBm;-51 dBm;-50 dBm;-51 dBm
-57 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-59 dBm;-50 dBm
-50 dBm;-50 dBm;-51 dBm;-50 dBm
-57 dBm;-73 dBm;-79 dBm;-51 dBm
-50 dBm;-72 dBm;-50 dBm;-78 dBm
-56 dBm;-50 dBm;-50 dBm;-50 dBm
-74 dBm;-71 dBm;-50 dBm;-71 dBm
-50 dBm;-51 dBm;-51 dBm;-50 dBm
-57 dBm;-74 dBm;-58 dBm;-80 dBm
-74 dBm;-50 dBm;-51 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-71 dBm
-50 dBm;-73 dBm;-50 dBm;-50 dBm
-57 dBm;-50 dBm;-51 dBm;-50 dBm
-49 dBm;-50 dBm;-50 dBm;-50 dBm
-51 dBm;-75 dBm;-77 dBm;-50 dBm
-74 dBm;-51 dBm;-50 dBm;-50 dBm
-50 dBm;-70 dBm;-58 dBm;-77 dBm
-57 dBm;-50 dBm;-50 dBm;-50 dBm
-51 dBm;-51 dBm;-50 dBm;-50 dBm
-50 dBm;-70 dBm;-58 dBm;-71 dBm
-57 dBm;-51 dBm;-77 dBm;-48 dBm
-74 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-71 dBm;-55 dBm;-50 dBm
-58 dBm;-50 dBm;-51 dBm;-50 dBm
-51 dBm;-50 dBm;-77 dBm;-50 dBm
-74 dBm;-70 dBm;-50 dBm;-78 dBm
-50 dBm;-67 dBm;-57 dBm;-78 dBm
-56 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-79 dBm;-50 dBm
-74 dBm;-71 dBm;-51 dBm;-50 dBm
-50 dBm;-50 dBm;-56 dBm;-77 dBm
-56 dBm;-48 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-77 dBm;-70 dBm
-51 dBm;-50 dBm;-51 dBm;-50 dBm
-57 dBm;-50 dBm;-56 dBm;-50 dBm
-74 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-57 dBm;-50 dBm;-77 dBm;-50 dBm
-51 dBm;-50 dBm;-78 dBm;-50 dBm
-56 dBm;-74 dBm;-51 dBm;-79 dBm
-56 dBm;-51 dBm;-57 dBm;-50 dBm
-74 dBm;-71 dBm;-50 dBm;-71 dBm
-50 dBm;-51 dBm;-78 dBm;-50 dBm
-50 dBm;-74 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-56 dBm;-78 dBm
-50 dBm;-70 dBm;-50 dBm;-51 dBm
-51 dBm;-50 dBm;-78 dBm;-51 dBm
-55 dBm;-50 dBm;-51 dBm;-78 dBm
-72 dBm;-50 dBm;-55 dBm;-78 dBm
-50 dBm;-74 dBm;-50 dBm;-50 dBm
-56 dBm;-50 dBm;-50 dBm;-70 dBm
-72 dBm;-51 dBm;-51 dBm;-51 dBm
-50 dBm;-74 dBm;-78 dBm;-50 dBm
-56 dBm;-50 dBm;-51 dBm;-78 dBm
-50 dBm;-71 dBm;-57 dBm;-51 dBm
-72 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-56 dBm;-51 dBm;-78 dBm;-51 dBm
-50 dBm;-50 dBm;-49 dBm;-78 dBm
-72 dBm;-71 dBm;-56 dBm;-50 dBm
-50 dBm;-50 dBm;-51 dBm;-51 dBm
-57 dBm;-51 dBm;-51 dBm;-77 dBm
-72 dBm;-70 dBm;-78 dBm;-51 dBm
-51 dBm;-50 dBm;-50 dBm;-51 dBm
-57 dBm;-74 dBm;-56 dBm;-51 dBm
-72 dBm;-51 dBm;-55 dBm;-51 dBm
-51 dBm;-50 dBm;-50 dBm;-50 dBm
-58 dBm;-74 dBm;-78 dBm;-78 dBm
-50 dBm;-50 dBm;-49 dBm;-50 dBm
-73 dBm;-50 dBm;-57 dBm;-71 dBm
-50 dBm;-73 dBm;-50 dBm;-51 dBm
-57 dBm;-73 dBm;-78 dBm;-77 dBm
-51 dBm;-50 dBm;-50 dBm;-51 dBm
-73 dBm;-71 dBm;-57 dBm;-51 dBm
-50 dBm;-50 dBm;-50 dBm;-78 dBm
-56 dBm;-51 dBm;-78 dBm;-50 dBm
-73 dBm;-50 dBm;-50 dBm;-70 dBm
-49 dBm;-72 dBm;-55 dBm;-50 dBm
-57 dBm;-50 dBm;-50 dBm;-51 dBm
-73 dBm;-50 dBm;-50 dBm;-51 dBm
-50 dBm;-71 dBm;-51 dBm;-50 dBm
-50 dBm;-51 dBm;-50 dBm;-78 dBm
-57 dBm;-72 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-78 dBm;-50 dBm
-73 dBm;-71 dBm;-50 dBm;-51 dBm
-50 dBm;-50 dBm;-56 dBm;-70 dBm
-57 dBm;-73 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-51 dBm;-71 dBm;-50 dBm;-78 dBm
-49 dBm;-71 dBm;-78 dBm;-51 dBm
-73 dBm;-50 dBm;-50 dBm;-70 dBm
-50 dBm;-72 dBm;-57 dBm;-50 dBm
-56 dBm;-50 dBm;-50 dBm;-78 dBm
-73 dBm;-50 dBm;-50 dBm;-78 dBm
-50 dBm;-72 dBm;-78 dBm;-77 dBm
-57 dBm;-50 dBm;-50 dBm;-50 dBm
-57 dBm;-51 dBm;-56 dBm;-71 dBm
-51 dBm;-50 dBm;-50 dBm;-50 dBm
-72 dBm;-73 dBm;-51 dBm;-50 dBm
-73 dBm;-51 dBm;-51 dBm;-78 dBm
-50 dBm;-71 dBm;-50 dBm;-50 dBm
-51 dBm;-50 dBm;-78 dBm;-72 dBm
-56 dBm;-73 dBm;-50 dBm;-50 dBm
-72 dBm;-50 dBm;-57 dBm;-78 dBm
-50 dBm;-70 dBm;-57 dBm;-50 dBm
-57 dBm;-51 dBm;-50 dBm;-50 dBm
-50 dBm;-73 dBm;-78 dBm;-50 dBm
-57 dBm;-50 dBm;-50 dBm;-50 dBm
-75 dBm;-70 dBm;-57 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-57 dBm;-73 dBm;-78 dBm;-77 dBm
-50 dBm;-50 dBm;-51 dBm;-78 dBm
-74 dBm;-50 dBm;-56 dBm;-50 dBm
-49 dBm;-72 dBm;-50 dBm;-71 dBm
-57 dBm;-50 dBm;-78 dBm;-51 dBm
-50 dBm;-70 dBm;-51 dBm;-78 dBm
-50 dBm;-50 dBm;-56 dBm;-50 dBm
-55 dBm;-73 dBm;-50 dBm;-51 dBm
-75 dBm;-50 dBm;-50 dBm;-78 dBm
-50 dBm;-50 dBm;-51 dBm;-50 dBm
-50 dBm;-73 dBm;-50 dBm;-71 dBm
-50 dBm;-50 dBm;-78 dBm;-50 dBm
-51 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-73 dBm;-49 dBm;-78 dBm
-56 dBm;-50 dBm;-56 dBm;-49 dBm
-50 dBm;-70 dBm;-51 dBm;-50 dBm
-75 dBm;-72 dBm;-78 dBm;-78 dBm
-51 dBm;-50 dBm;-50 dBm;-51 dBm
-57 dBm;-71 dBm;-55 dBm;-71 dBm
-51 dBm;-50 dBm;-50 dBm;-51 dBm
-50 dBm;-73 dBm;-78 dBm;-79 dBm
-56 dBm;-50 dBm;-50 dBm;-78 dBm
-50 dBm;-71 dBm;-57 dBm;-51 dBm
-74 dBm;-50 dBm;-50 dBm;-70 dBm
-50 dBm;-74 dBm;-78 dBm;-50 dBm
-57 dBm;-50 dBm;-50 dBm;-77 dBm
-50 dBm;-71 dBm;-56 dBm;-50 dBm
-57 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-74 dBm;-78 dBm;-51 dBm
-50 dBm;-51 dBm;-50 dBm;-50 dBm
-50 dBm;-71 dBm;-56 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-74 dBm;-78 dBm;-50 dBm
-50 dBm;-50 dBm;-78 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-78 dBm
-50 dBm;-50 dBm;-50 dBm;-51 dBm
-56 dBm;-50 dBm;-57 dBm;-72 dBm
-74 dBm;-51 dBm;-50 dBm;-50 dBm
-50 dBm;-75 dBm;-50 dBm;-78 dBm
-50 dBm;-50 dBm;-50 dBm;-51 dBm
-50 dBm;-50 dBm;-51 dBm;-71 dBm
-50 dBm;-71 dBm;-50 dBm;-51 dBm
-56 dBm;-50 dBm;-50 dBm;-51 dBm
-49 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-78 dBm;-50 dBm
-51 dBm;-74 dBm;-49 dBm;-50 dBm
-56 dBm;-50 dBm;-56 dBm;-50 dBm
-49 dBm;-71 dBm;-50 dBm;-51 dBm
-56 dBm;-50 dBm;-50 dBm;-78 dBm
-51 dBm;-50 dBm;-50 dBm;-50 dBm
-51 dBm;-71 dBm;-50 dBm;-50 dBm
-56 dBm;-49 dBm;-50 dBm;-78 dBm
-50 dBm;-51 dBm;-50 dBm;-51 dBm
-50 dBm;-50 dBm;-50 dBm;-71 dBm
-50 dBm;-70 dBm;-78 dBm;-51 dBm
-57 dBm;-50 dBm;-78 dBm;-78 dBm
-50 dBm;-50 dBm;-78 dBm;-78 dBm
-74 dBm;-49 dBm;-50 dBm;-50 dBm
-50 dBm;-49 dBm;-56 dBm;-71 dBm
-57 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-74 dBm;-77 dBm;-51 dBm
-50 dBm;-50 dBm;-78 dBm;-50 dBm
-49 dBm;-71 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-56 dBm;-50 dBm
-57 dBm;-50 dBm;-50 dBm;-78 dBm
-49 dBm;-50 dBm;-50 dBm;-78 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-49 dBm;-74 dBm;-51 dBm;-71 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-51 dBm;-77 dBm
-57 dBm;-50 dBm;-78 dBm;-50 dBm
-50 dBm;-48 dBm;-50 dBm;-50 dBm
-56 dBm;-49 dBm;-56 dBm;-50 dBm
-50 dBm;-50 dBm;-56 dBm;-78 dBm
-56 dBm;-68 dBm;-50 dBm;-51 dBm
-49 dBm;-50 dBm;-78 dBm;-50 dBm
-50 dBm;-49 dBm;-50 dBm;-70 dBm
-49 dBm;-50 dBm;-78 dBm;-51 dBm
-50 dBm;-50 dBm;-50 dBm;-78 dBm
-50 dBm;-50 dBm;-57 dBm;-50 dBm
-49 dBm;-50 dBm;-49 dBm;-50 dBm
-56 dBm;-50 dBm;-78 dBm;-50 dBm
-50 dBm;-74 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-57 dBm;-49 dBm;-58 dBm;-50 dBm
-49 dBm;-50 dBm;-50 dBm;-78 dBm
-57 dBm;-74 dBm;-78 dBm;-51 dBm
-50 dBm;-50 dBm;-50 dBm;-49 dBm
-57 dBm;-51 dBm;-56 dBm;-51 dBm
-49 dBm;-50 dBm;-49 dBm;-77 dBm
-58 dBm;-71 dBm;-78 dBm;-49 dBm
-49 dBm;-50 dBm;-50 dBm;-71 dBm
-50 dBm;-50 dBm;-58 dBm;-78 dBm
-50 dBm;-50 dBm;-51 dBm;-51 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-78 dBm;-50 dBm
-56 dBm;-50 dBm;-49 dBm;-50 dBm
-49 dBm;-50 dBm;-57 dBm;-50 dBm
-57 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-49 dBm;-78 dBm;-78 dBm
-57 dBm;-51 dBm;-50 dBm;-50 dBm
-49 dBm;-49 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-56 dBm;-78 dBm
-50 dBm;-51 dBm;-50 dBm;-50 dBm
-57 dBm;-51 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-77 dBm
-50 dBm;-70 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-71 dBm
-57 dBm;-50 dBm;-78 dBm;-50 dBm
-50 dBm;-71 dBm;-50 dBm;-51 dBm
-55 dBm;-71 dBm;-56 dBm;-78 dBm
-50 dBm;-50 dBm;-50 dBm;-78 dBm
-49 dBm;-50 dBm;-50 dBm;-50 dBm
-57 dBm;-50 dBm;-50 dBm;-51 dBm
-49 dBm;-50 dBm;-78 dBm;-50 dBm
-50 dBm;-51 dBm;-49 dBm;-78 dBm
-50 dBm;-49 dBm;-57 dBm;-50 dBm
-50 dBm;-49 dBm;-51 dBm;-71 dBm
-50 dBm;-71 dBm;-50 dBm;-50 dBm
-57 dBm;-50 dBm;-50 dBm;-79 dBm
-50 dBm;-50 dBm;-79 dBm;-79 dBm
-50 dBm;-50 dBm;-50 dBm;-51 dBm
-50 dBm;-50 dBm;-57 dBm;-51 dBm
-50 dBm;-49 dBm;-50 dBm;-78 dBm
-50 dBm;-50 dBm;-79 dBm;-50 dBm
-50 dBm;-50 dBm;-79 dBm;-50 dBm
-57 dBm;-70 dBm;-77 dBm;-51 dBm
-50 dBm;-50 dBm;-51 dBm;-51 dBm
-50 dBm;-49 dBm;-56 dBm;-50 dBm
-57 dBm;-49 dBm;-49 dBm;-50 dBm
-50 dBm;-50 dBm;-77 dBm;-50 dBm
-57 dBm;-50 dBm;-78 dBm;-51 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-49 dBm;-50 dBm;-57 dBm;-78 dBm
-56 dBm;-50 dBm;-50 dBm;-50 dBm
-49 dBm;-49 dBm;-78 dBm;-50 dBm
-57 dBm;-49 dBm;-49 dBm;-78 dBm
-74 dBm;-70 dBm;-57 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-49 dBm
-57 dBm;-50 dBm;-78 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-56 dBm;-50 dBm;-57 dBm;-49 dBm
-49 dBm;-50 dBm;-49 dBm;-50 dBm
-58 dBm;-50 dBm;-78 dBm;-67 dBm
-57 dBm;-72 dBm;-50 dBm;-49 dBm
-50 dBm;-71 dBm;-57 dBm;-78 dBm
-50 dBm;-50 dBm;-51 dBm;-49 dBm
-49 dBm;-50 dBm;-78 dBm;-51 dBm
-55 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-57 dBm;-49 dBm
-50 dBm;-50 dBm;-50 dBm;-51 dBm
-49 dBm;-71 dBm;-49 dBm;-49 dBm
-56 dBm;-50 dBm;-49 dBm;-49 dBm
-49 dBm;-50 dBm;-50 dBm;-78 dBm
-56 dBm;-71 dBm;-50 dBm;-49 dBm
-50 dBm;-50 dBm;-78 dBm;-50 dBm
-50 dBm;-49 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-56 dBm;-50 dBm
-50 dBm;-50 dBm;-51 dBm;-50 dBm
-56 dBm;-50 dBm;-50 dBm;-50 dBm
-49 dBm;-50 dBm;-50 dBm;-77 dBm
-73 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-78 dBm;-70 dBm
-56 dBm;-49 dBm;-50 dBm;-49 dBm
-50 dBm;-50 dBm;-57 dBm;-50 dBm
-56 dBm;-50 dBm;-50 dBm;-78 dBm
-74 dBm;-50 dBm;-78 dBm;-78 dBm
-50 dBm;-71 dBm;-50 dBm;-76 dBm
-58 dBm;-50 dBm;-56 dBm;-50 dBm
-50 dBm;-49 dBm;-50 dBm;-49 dBm
-50 dBm;-50 dBm;-78 dBm;-49 dBm
-74 dBm;-50 dBm;-49 dBm;-78 dBm
-50 dBm;-50 dBm;-57 dBm;-50 dBm
-58 dBm;-50 dBm;-50 dBm;-49 dBm
-72 dBm;-50 dBm;-49 dBm;-77 dBm
-50 dBm;-50 dBm;-49 dBm;-49 dBm
-56 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-70 dBm
-57 dBm;-50 dBm;-78 dBm;-50 dBm
-74 dBm;-50 dBm;-50 dBm;-78 dBm
-50 dBm;-50 dBm;-57 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-78 dBm;-78 dBm
-57 dBm;-50 dBm;-50 dBm;-78 dBm
-50 dBm;-50 dBm;-57 dBm;-50 dBm
-74 dBm;-70 dBm;-50 dBm;-71 dBm
-50 dBm;-50 dBm;-78 dBm;-50 dBm
-57 dBm;-49 dBm;-50 dBm;-78 dBm
-73 dBm;-50 dBm;-57 dBm;-78 dBm
-50 dBm;-50 dBm;-50 dBm;-49 dBm
-51 dBm;-71 dBm;-78 dBm;-71 dBm
-56 dBm;-50 dBm;-49 dBm;-50 dBm
-50 dBm;-50 dBm;-58 dBm;-78 dBm
-85 dBm;-50 dBm;-50 dBm;-51 dBm
-74 dBm;-49 dBm;-50 dBm;-71 dBm
-56 dBm;-50 dBm;-50 dBm;-51 dBm
-49 dBm;-50 dBm;-49 dBm;-50 dBm
-58 dBm;-70 dBm;-78 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-57 dBm;-49 dBm
-49 dBm;-49 dBm;-50 dBm;-78 dBm
-50 dBm;-50 dBm;-78 dBm;-50 dBm
-74 dBm;-49 dBm;-49 dBm;-49 dBm
-50 dBm;-50 dBm;-56 dBm;-50 dBm
-57 dBm;-50 dBm;-50 dBm;-50 dBm
-51 dBm;-50 dBm;-78 dBm;-77 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-58 dBm;-49 dBm;-58 dBm;-50 dBm
-50 dBm;-71 dBm;-50 dBm;-50 dBm
-57 dBm;-50 dBm;-78 dBm;-50 dBm
-72 dBm;-49 dBm;-50 dBm;-51 dBm
-50 dBm;-50 dBm;-57 dBm;-67 dBm
-57 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-78 dBm;-49 dBm
-50 dBm;-50 dBm;-49 dBm;-78 dBm
-50 dBm;-50 dBm;-56 dBm;-50 dBm
-72 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-57 dBm;-50 dBm;-49 dBm;-78 dBm
-57 dBm;-50 dBm;-50 dBm;-49 dBm
