No.;Time;signal strength;Source;Destination;Info;Length;;;;Signal 1;Signal 2
1;0.000000000;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=48/12288, ttl=64;172;;192.168.1.109;;;-78 dBm
2;0.002034597;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=83/21248, ttl=64;172;;192.168.1.105;;-78 dBm;
3;0.003413975;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=83/21248, ttl=64;161;;192.168.1.105;;-52 dBm;
7;0.144929300;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=48/12288, ttl=64;161;;192.168.1.109;;;-51 dBm
11;0.618019146;-72 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=49/12544, ttl=64 (no response found!);172;;192.168.1.109;;;-72 dBm
12;0.662928398;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=49/12544, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
13;0.662953719;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=49/12544, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
14;0.662969540;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=49/12544, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
15;0.664281730;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=49/12544, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
16;0.664306497;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=49/12544, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
17;0.664333565;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=49/12544, ttl=64 (reply in 18);161;;192.168.1.109;;;-50 dBm
18;0.670437930;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=49/12544, ttl=64 (request in 17);172;;192.168.1.109;;;-78 dBm
19;0.671795732;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=49/12544, ttl=64;172;;192.168.1.109;;;-77 dBm
20;0.673808129;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=49/12544, ttl=64;161;;192.168.1.109;;;-50 dBm
21;0.795277623;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=84/21504, ttl=64 (no response found!);161;;192.168.1.105;;-55 dBm;
22;0.796789413;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=84/21504, ttl=64 (reply in 23);161;;192.168.1.105;;-50 dBm;
23;0.801814812;-76 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=84/21504, ttl=64 (request in 22);172;;192.168.1.105;;-76 dBm;
24;0.802243253;-76 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=84/21504, ttl=64;172;;192.168.1.105;;-76 dBm;
25;0.804237311;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=84/21504, ttl=64;161;;192.168.1.105;;-50 dBm;
32;1.619.355.527;-72 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=50/12800, ttl=64 (no response found!);172;;192.168.1.109;;;-72 dBm
33;1.679.946.062;-48 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=50/12800, ttl=64 (reply in 36);161;;192.168.1.109;;;-48 dBm
34;1.797.287.442;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=85/21760, ttl=64 (no response found!);161;;192.168.1.105;;-56 dBm;
35;1.798.195.857;-48 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=85/21760, ttl=64 (reply in 38);161;;192.168.1.105;;-48 dBm;
36;1.819.271.153;-76 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=50/12800, ttl=64 (request in 33);172;;192.168.1.109;;;-76 dBm
37;1.821.470.587;-44 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=50/12800, ttl=64;161;;192.168.1.109;;;-44 dBm
38;1.821.527.419;-76 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=85/21760, ttl=64 (request in 35);172;;192.168.1.105;;-76 dBm;
39;1.823.558.399;-47 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=85/21760, ttl=64;161;;192.168.1.105;;-47 dBm;
45;2.620.717.282;-70 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=51/13056, ttl=64 (no response found!);172;;192.168.1.109;;;-70 dBm
46;2.703.929.744;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=51/13056, ttl=64 (reply in 47);161;;192.168.1.109;;;-50 dBm
47;2.710.471.861;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=51/13056, ttl=64 (request in 46);172;;192.168.1.109;;;-78 dBm
48;2.712.025.454;-49 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=51/13056, ttl=64;161;;192.168.1.109;;;-49 dBm
49;2.798.587.017;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=86/22016, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
50;2.800.121.648;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=86/22016, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
51;2.800.145.988;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=86/22016, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
52;2.800.161.800;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=86/22016, ttl=64 (reply in 53);161;;192.168.1.105;;-50 dBm;
53;2.806.779.325;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=86/22016, ttl=64 (request in 52);172;;192.168.1.105;;-77 dBm;
54;2.810.870.559;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=86/22016, ttl=64;172;;192.168.1.105;;-77 dBm;
55;2.813.110.992;-49 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=86/22016, ttl=64;161;;192.168.1.105;;-49 dBm;
64;3.621.454.396;-70 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=52/13312, ttl=64 (no response found!);172;;192.168.1.109;;;-70 dBm
65;3.728.564.711;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=52/13312, ttl=64 (no response found!);161;;192.168.1.109;;;-52 dBm
66;3.728.586.794;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=52/13312, ttl=64 (no response found!);161;;192.168.1.109;;;-51 dBm
67;3.728.604.264;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=52/13312, ttl=64 (no response found!);161;;192.168.1.109;;;-51 dBm
68;3.728.619.634;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=52/13312, ttl=64 (no response found!);161;;192.168.1.109;;;-51 dBm
69;3.731.418.226;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=52/13312, ttl=64 (no response found!);161;;192.168.1.109;;;-51 dBm
70;3.731.454.840;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=52/13312, ttl=64 (reply in 77);161;;192.168.1.109;;;-51 dBm
71;3.800.096.906;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=87/22272, ttl=64 (no response found!);161;;192.168.1.105;;-56 dBm;
72;3.801.851.938;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=87/22272, ttl=64 (no response found!);161;;192.168.1.105;;-49 dBm;
73;3.801.875.930;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=87/22272, ttl=64 (no response found!);161;;192.168.1.105;;-49 dBm;
