No.;Time;signal strength;Source;Destination;Info;Length;;;S1;S2
3;0.146212372;-58 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=109/27904, ttl=64 (no response found!);161;;192.168.1.106;;-58 dBm
4;0.184838826;-63 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=164/41984, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
14;1.041.452.923;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=109/27904, ttl=64 (reply in 16);162;;192.168.1.106;;0
15;1.041.478.265;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=164/41984, ttl=64 (reply in 17);162;192.168.1.102;;0;
16;1.044.690.864;-71 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=109/27904, ttl=64 (request in 14);172;;192.168.1.106;;-71 dBm
17;1.045.041.967;-71 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=164/41984, ttl=64 (request in 15);172;192.168.1.102;;-71 dBm;
18;1.046.355.058;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=109/27904, ttl=64;161;;192.168.1.106;;-53 dBm
19;1.130.826.819;-54 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=164/41984, ttl=64;172;192.168.1.102;;-54 dBm;
20;1.145.097.377;-61 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=110/28160, ttl=64 (no response found!);161;;192.168.1.106;;-61 dBm
21;1.147.022.933;-54 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=110/28160, ttl=64 (reply in 22);161;;192.168.1.106;;-54 dBm
22;1.149.630.222;-72 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=110/28160, ttl=64 (request in 21);172;;192.168.1.106;;-72 dBm
23;1.151.280.855;-54 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=110/28160, ttl=64;161;;192.168.1.106;;-54 dBm
24;1.232.878.316;-62 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=165/42240, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
25;1.233.939.801;-54 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=165/42240, ttl=64 (reply in 26);172;192.168.1.102;;-54 dBm;
26;1.237.278.524;-71 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=165/42240, ttl=64 (request in 25);172;192.168.1.102;;-71 dBm;
27;1.238.687.843;-54 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=165/42240, ttl=64;161;192.168.1.102;;-54 dBm;
40;2.148.936.541;-60 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=111/28416, ttl=64 (no response found!);161;;192.168.1.106;;-60 dBm
41;2.238.017.707;-63 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=166/42496, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
42;2.264.829.400;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=111/28416, ttl=64 (reply in 44);162;;192.168.1.106;;0
43;2.264.856.125;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=166/42496, ttl=64 (reply in 45);172;192.168.1.102;;-53 dBm;
44;2.268.216.297;-71 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=111/28416, ttl=64 (request in 42);172;;192.168.1.106;;-71 dBm
45;2.268.470.907;-71 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=166/42496, ttl=64 (request in 43);172;192.168.1.102;;-71 dBm;
46;2.270.760.707;-54 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=111/28416, ttl=64;161;;192.168.1.106;;-54 dBm
