S1A1;S2A1;S1C1;S2C1
-63 dBm;-58 dBm;-62 dBm;-59 dBm
-71 dBm;-71 dBm;-54 dBm;-54 dBm
-54 dBm;-53 dBm;-50 dBm;-59 dBm
-62 dBm;-61 dBm;-62 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-71 dBm;-72 dBm;-77 dBm;-54 dBm
-54 dBm;-54 dBm;-53 dBm;-78 dBm
-63 dBm;-60 dBm;-62 dBm;-54 dBm
-53 dBm;-71 dBm;-54 dBm;-60 dBm
-71 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-60 dBm;-78 dBm;-54 dBm
-63 dBm;-53 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-63 dBm;-79 dBm
-71 dBm;-71 dBm;-53 dBm;-78 dBm
-54 dBm;-54 dBm;-52 dBm;-78 dBm
-53 dBm;-62 dBm;-52 dBm;-54 dBm
-61 dBm;-48 dBm;-61 dBm;-60 dBm
-49 dBm;-64 dBm;-51 dBm;-55 dBm
-71 dBm;-71 dBm;-51 dBm;-56 dBm
-49 dBm;-51 dBm;-77 dBm;-62 dBm
-62 dBm;-63 dBm;-50 dBm;-54 dBm
-51 dBm;-50 dBm;-62 dBm;-55 dBm
-51 dBm;-50 dBm;-52 dBm;-61 dBm
-51 dBm;-62 dBm;-77 dBm;-55 dBm
-51 dBm;-53 dBm;-52 dBm;-55 dBm
-63 dBm;-69 dBm;-62 dBm;-54 dBm
-52 dBm;-52 dBm;-62 dBm;-54 dBm
-52 dBm;-62 dBm;-62 dBm;-54 dBm
-52 dBm;-53 dBm;-53 dBm;-55 dBm
-53 dBm;-53 dBm;-76 dBm;-76 dBm
-52 dBm;-53 dBm;-52 dBm;-53 dBm
-53 dBm;-53 dBm;-63 dBm;-61 dBm
-64 dBm;-52 dBm;-53 dBm;-48 dBm
-53 dBm;-54 dBm;-77 dBm;-77 dBm
-63 dBm;-62 dBm;-53 dBm;-48 dBm
