No.;Time;signal strength;Source;Destination;Info;Length;;;S1;S2
1;0.000000000;-59 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=113/28928, ttl=64 (no response found!);161;;192.168.1.106;;-59 dBm
2;0.001634946;-54 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=113/28928, ttl=64 (no response found!);161;;192.168.1.106;;-54 dBm
5;0.383075177;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=170/43520, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
6;0.433618521;-54 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=170/43520, ttl=64 (reply in 7);158;192.168.1.102;;-54 dBm;
7;0.477587371;-50 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=170/43520, ttl=64 (request in 6);158;192.168.1.102;;-50 dBm;
8;0.998344173;-59 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=114/29184, ttl=64 (no response found!);161;;192.168.1.106;;-59 dBm
9;1.000.328.731;-54 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=114/29184, ttl=64 (no response found!);161;;192.168.1.106;;-54 dBm
10;1.000.355.348;-54 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=114/29184, ttl=64 (no response found!);161;;192.168.1.106;;-54 dBm
11;1.000.372.119;-54 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=114/29184, ttl=64 (reply in 12);161;;192.168.1.106;;-54 dBm
12;1.007.279.218;-78 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=114/29184, ttl=64 (request in 11);172;;192.168.1.106;;-78 dBm
13;1.009.429.048;-54 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=114/29184, ttl=64;161;;192.168.1.106;;-54 dBm
28;1.424.462.733;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=171/43776, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
29;1.431.638.447;-54 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=171/43776, ttl=64 (reply in 30);161;192.168.1.102;;-54 dBm;
30;1.439.597.985;-77 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=171/43776, ttl=64 (request in 29);172;192.168.1.102;;-77 dBm;
31;1.541.349.271;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=171/43776, ttl=64;161;192.168.1.102;;-53 dBm;
32;1.999.493.149;-60 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=115/29440, ttl=64 (no response found!);161;;192.168.1.106;;-60 dBm
33;2.052.211.896;-54 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=115/29440, ttl=64 (no response found!);161;;192.168.1.106;;-54 dBm
34;2.052.235.548;-54 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=115/29440, ttl=64 (no response found!);161;;192.168.1.106;;-54 dBm
35;2.052.251.990;-54 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=115/29440, ttl=64 (reply in 36);161;;192.168.1.106;;-54 dBm
36;2.060.097.932;-79 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=115/29440, ttl=64 (request in 35);172;;192.168.1.106;;-79 dBm
37;2.060.910.140;-78 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=115/29440, ttl=64;172;;192.168.1.106;;-78 dBm
38;2.061.325.060;-78 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=115/29440, ttl=64;172;;192.168.1.106;;-78 dBm
39;2.063.461.197;-54 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=115/29440, ttl=64;161;;192.168.1.106;;-54 dBm
48;2.430.569.949;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=172/44032, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
49;2.435.029.533;-54 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=172/44032, ttl=64 (no response found!);161;192.168.1.102;;-54 dBm;
50;2.437.574.896;-54 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=172/44032, ttl=64 (reply in 51);161;192.168.1.102;;-54 dBm;
51;2.445.642.275;-78 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=172/44032, ttl=64 (request in 50);172;192.168.1.102;;-78 dBm;
52;2.447.538.359;-54 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=172/44032, ttl=64;161;192.168.1.102;;-54 dBm;
53;3.000.492.943;-60 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=116/29696, ttl=64 (no response found!);161;;192.168.1.106;;-60 dBm
54;3.002.688.158;-55 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=116/29696, ttl=64 (reply in 55);161;;192.168.1.106;;-55 dBm
55;3.010.074.624;-56 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=116/29696, ttl=64 (request in 54);161;;192.168.1.106;;-56 dBm
66;3.427.555.603;-63 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=173/44288, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
67;3.429.753.632;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=173/44288, ttl=64 (reply in 68);161;192.168.1.102;;-53 dBm;
68;3.438.150.622;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=173/44288, ttl=64 (request in 67);161;192.168.1.102;;-52 dBm;
69;3.438.175.882;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=173/44288, ttl=64;161;192.168.1.102;;-52 dBm;
70;4.002.217.653;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=117/29952, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
71;4.101.398.169;-54 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=117/29952, ttl=64 (reply in 72);161;;192.168.1.106;;-54 dBm
72;4.111.851.245;-55 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=117/29952, ttl=64 (request in 71);161;;192.168.1.106;;-55 dBm
80;4.428.989.442;-61 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=174/44544, ttl=64 (no response found!);172;192.168.1.102;;-61 dBm;
