S1A1;S2A1;S1D1;S2D1
-53 dBm;-50 dBm;-54 dBm;-51 dBm
-50 dBm;-51 dBm;-51 dBm;-50 dBm
-50 dBm;-50 dBm;-80 dBm;-50 dBm
-55 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-50 dBm;-52 dBm;-51 dBm
-50 dBm;-49 dBm;-50 dBm;-51 dBm
-55 dBm;-50 dBm;-50 dBm;-50 dBm
-49 dBm;-50 dBm;-53 dBm;-50 dBm
-49 dBm;-50 dBm;-49 dBm;-51 dBm
-54 dBm;-50 dBm;-50 dBm;-50 dBm
-49 dBm;-51 dBm;-56 dBm;-50 dBm
-50 dBm;-50 dBm;-50 dBm;-50 dBm
-50 dBm;-49 dBm;-50 dBm;-50 dBm
-52 dBm;-50 dBm;-50 dBm;-50 dBm
-49 dBm;-50 dBm;-49 dBm;-50 dBm
-50 dBm;-50 dBm;-54 dBm;-50 dBm
-54 dBm;-48 dBm;-49 dBm;-49 dBm
-49 dBm;-54 dBm;-50 dBm;-50 dBm
-50 dBm;-57 dBm;-53 dBm;-49 dBm
-55 dBm;-54 dBm;-52 dBm;-48 dBm
-54 dBm;-51 dBm;-54 dBm;-49 dBm
-47 dBm;-52 dBm;-53 dBm;-48 dBm
-48 dBm;-53 dBm;-55 dBm;-55 dBm
-54 dBm;-52 dBm;-50 dBm;-77 dBm
-53 dBm;-53 dBm;-49 dBm;-55 dBm
-55 dBm;-53 dBm;-54 dBm;-54 dBm
-54 dBm;-52 dBm;-80 dBm;-55 dBm
-55 dBm;-53 dBm;-49 dBm;-55 dBm
-54 dBm;-50 dBm;-55 dBm;-52 dBm
-55 dBm;-50 dBm;-49 dBm;-52 dBm
-52 dBm;-49 dBm;-49 dBm;-48 dBm
-52 dBm;-50 dBm;-49 dBm;-48 dBm
-55 dBm;-52 dBm;-54 dBm;-50 dBm
-56 dBm;-50 dBm;-54 dBm;-50 dBm
-54 dBm;-51 dBm;-54 dBm;-55 dBm
-57 dBm;-51 dBm;-78 dBm;-55 dBm
-52 dBm;-51 dBm;-77 dBm;-54 dBm
-52 dBm;-50 dBm;-53 dBm;-52 dBm
-52 dBm;-52 dBm;-56 dBm;-55 dBm
-56 dBm;-50 dBm;-55 dBm;-52 dBm
-47 dBm;-50 dBm;-78 dBm;-48 dBm
-47 dBm;-50 dBm;-53 dBm;-47 dBm
-56 dBm;-50 dBm;-55 dBm;-48 dBm
-55 dBm;-50 dBm;-52 dBm;-48 dBm
-56 dBm;-50 dBm;-51 dBm;-48 dBm
-51 dBm;-50 dBm;-56 dBm;-48 dBm
-53 dBm;-50 dBm;-49 dBm;-48 dBm
-56 dBm;-52 dBm;-56 dBm;-51 dBm
-51 dBm;-51 dBm;-49 dBm;-77 dBm
-50 dBm;-51 dBm;-57 dBm;-52 dBm
-55 dBm;-52 dBm;-50 dBm;-51 dBm
-53 dBm;-52 dBm;-51 dBm;-52 dBm
-51 dBm;-51 dBm;-50 dBm;-51 dBm
-52 dBm;-51 dBm;-50 dBm;-51 dBm
-56 dBm;-51 dBm;-53 dBm;-51 dBm
-56 dBm;-51 dBm;-53 dBm;-51 dBm
-52 dBm;-51 dBm;-51 dBm;-51 dBm
-52 dBm;-51 dBm;-53 dBm;-51 dBm
-51 dBm;-50 dBm;-53 dBm;-76 dBm
