No.;Time;signal strength;Source;Destination;Info;Length;;;S1D1;S2D1
7;0.199574558;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=156/39936, ttl=64 (reply in 12);161;;192.168.1.109;-54 dBm;-51 dBm
8;0.239415108;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=278/5633, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-50 dBm
9;0.240906900;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=278/5633, ttl=64 (reply in 10);161;192.168.1.105;;-80 dBm;-50 dBm
10;0.338869499;-80 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=278/5633, ttl=64 (request in 9);172;192.168.1.105;;-50 dBm;-50 dBm
11;0.340419416;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=278/5633, ttl=64;161;192.168.1.105;;-52 dBm;-51 dBm
12;0.498175953;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=156/39936, ttl=64 (request in 7);161;;192.168.1.109;-50 dBm;-51 dBm
18;1.242.166.790;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=279/5889, ttl=64 (no response found!);161;192.168.1.105;;-50 dBm;-50 dBm
19;1.250.975.008;;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=157/40192, ttl=64 (reply in 21);162;;192.168.1.109;-53 dBm;-50 dBm
20;1.251.000.368;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=279/5889, ttl=64 (reply in 26);172;192.168.1.105;;-49 dBm;-51 dBm
21;1.255.493.385;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=157/40192, ttl=64 (request in 19);161;;192.168.1.109;-50 dBm;-50 dBm
22;1.255.573.283;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=157/40192, ttl=64;161;;192.168.1.109;-56 dBm;-50 dBm
23;1.255.589.260;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=157/40192, ttl=64;161;;192.168.1.109;-50 dBm;-50 dBm
24;1.255.604.160;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=157/40192, ttl=64;161;;192.168.1.109;-50 dBm;-50 dBm
25;1.255.618.766;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=157/40192, ttl=64;161;;192.168.1.109;-50 dBm;-50 dBm
26;1.256.463.835;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=279/5889, ttl=64 (request in 20);161;192.168.1.105;;-49 dBm;-50 dBm
32;2.136.872.312;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=158/40448, ttl=64 (reply in 35);161;;192.168.1.109;-54 dBm;-50 dBm
33;2.241.574.788;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=280/6145, ttl=64 (no response found!);161;192.168.1.105;;-49 dBm;-49 dBm
34;2.243.109.544;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=280/6145, ttl=64 (reply in 36);161;192.168.1.105;;-50 dBm;-50 dBm
35;2.301.647.059;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=158/40448, ttl=64 (request in 32);161;;192.168.1.109;-53 dBm;-49 dBm
36;2.303.083.236;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=280/6145, ttl=64 (request in 34);161;192.168.1.105;;-52 dBm;-48 dBm
39;3.163.538.374;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=159/40704, ttl=64 (no response found!);161;;192.168.1.109;-54 dBm;-49 dBm
40;3.163.562.101;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=159/40704, ttl=64 (reply in 41);161;;192.168.1.109;-53 dBm;-48 dBm
41;3.171.342.715;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=159/40704, ttl=64 (request in 40);161;;192.168.1.109;-55 dBm;-55 dBm
43;3.992.712.086;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=281/6401, ttl=64 (no response found!);161;192.168.1.105;;-50 dBm;-77 dBm
56;4.082.645.496;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=281/6401, ttl=64 (no response found!);161;192.168.1.105;;-49 dBm;-55 dBm
57;4.082.655.054;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=281/6401, ttl=64 (no response found!);161;192.168.1.105;;-54 dBm;-54 dBm
58;4.083.452.003;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=281/6401, ttl=64 (reply in 60);161;192.168.1.105;;-80 dBm;-55 dBm
59;4.121.016.819;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=160/40960, ttl=64 (reply in 61);161;;192.168.1.109;-49 dBm;-55 dBm
60;4.226.666.165;-49 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=281/6401, ttl=64 (request in 58);161;192.168.1.105;;-55 dBm;-52 dBm
61;4.229.155.122;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=160/40960, ttl=64 (request in 59);161;;192.168.1.109;-49 dBm;-52 dBm
62;4.243.276.540;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=282/6657, ttl=64 (no response found!);161;192.168.1.105;;-49 dBm;-48 dBm
63;4.244.757.137;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=282/6657, ttl=64 (reply in 64);161;192.168.1.105;;-49 dBm;-48 dBm
64;4.247.363.743;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=282/6657, ttl=64 (request in 63);161;192.168.1.105;;-54 dBm;-50 dBm
70;5.123.481.694;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=161/41216, ttl=64 (reply in 71);161;;192.168.1.109;-54 dBm;-50 dBm
71;5.133.083.809;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=161/41216, ttl=64 (request in 70);161;;192.168.1.109;-54 dBm;-55 dBm
72;5.260.266.576;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=283/6913, ttl=64 (no response found!);158;192.168.1.105;;-78 dBm;-55 dBm
73;5.272.141.758;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=283/6913, ttl=64 (no response found!);158;192.168.1.105;;-77 dBm;-54 dBm
74;5.314.766.059;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=283/6913, ttl=64 (no response found!);158;192.168.1.105;;-53 dBm;-52 dBm
75;5.317.465.767;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=283/6913, ttl=64 (no response found!);158;192.168.1.105;;-56 dBm;-55 dBm
76;5.331.265.329;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=283/6913, ttl=64 (no response found!);158;192.168.1.105;;-55 dBm;-52 dBm
77;5.336.715.382;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=283/6913, ttl=64 (no response found!);158;192.168.1.105;;-78 dBm;-48 dBm
78;5.336.740.444;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=283/6913, ttl=64 (no response found!);158;192.168.1.105;;-53 dBm;-47 dBm
