S1A1(3);S2A1(3);S1E1(3);S2E1(3)
-56 dBm;-55 dBm;-56 dBm;-54 dBm
-53 dBm;-55 dBm;-55 dBm;-53 dBm
-78 dBm;-77 dBm;-56 dBm;-72 dBm
-52 dBm;-55 dBm;-57 dBm;-60 dBm
-56 dBm;-54 dBm;-55 dBm;-60 dBm
-56 dBm;-53 dBm;-58 dBm;-58 dBm
-57 dBm;-69 dBm;-64 dBm;-65 dBm
-57 dBm;-54 dBm;-59 dBm;-64 dBm
-57 dBm;-52 dBm;-58 dBm;-56 dBm
-57 dBm;-55 dBm;-55 dBm;-53 dBm
-57 dBm;-54 dBm;-56 dBm;-71 dBm
-57 dBm;-55 dBm;-64 dBm;-56 dBm
-57 dBm;-55 dBm;-55 dBm;-56 dBm
-57 dBm;-56 dBm;-57 dBm;-56 dBm
-57 dBm;-50 dBm;-55 dBm;-55 dBm
-56 dBm;-49 dBm;-52 dBm;-55 dBm
-58 dBm;-48 dBm;-54 dBm;-54 dBm
-55 dBm;-71 dBm;-53 dBm;-56 dBm
-54 dBm;-52 dBm;-54 dBm;-55 dBm
-54 dBm;-79 dBm;-52 dBm;-55 dBm
-55 dBm;-52 dBm;-54 dBm;-51 dBm
-52 dBm;-55 dBm;-55 dBm;-51 dBm
-81 dBm;-55 dBm;-57 dBm;-53 dBm
-55 dBm;-55 dBm;-57 dBm;-53 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-55 dBm;-54 dBm;-53 dBm
-56 dBm;-54 dBm;-55 dBm;-53 dBm
-54 dBm;-55 dBm;-87 dBm;-52 dBm
-51 dBm;-54 dBm;-54 dBm;-53 dBm
-56 dBm;-52 dBm;-58 dBm;-54 dBm
-54 dBm;-55 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-52 dBm
-57 dBm;-54 dBm;-54 dBm;-55 dBm
-55 dBm;-55 dBm;-55 dBm;-55 dBm
-54 dBm;-71 dBm;-55 dBm;-54 dBm
-54 dBm;-55 dBm;-55 dBm;-54 dBm
-52 dBm;-80 dBm;-55 dBm;-54 dBm
-55 dBm;-54 dBm;-56 dBm;-55 dBm
-55 dBm;-55 dBm;-53 dBm;-54 dBm
-79 dBm;-52 dBm;-52 dBm;-52 dBm
-54 dBm;-53 dBm;-55 dBm;-55 dBm
-57 dBm;-52 dBm;-54 dBm;-55 dBm
-53 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-54 dBm;-54 dBm;-71 dBm
-55 dBm;-55 dBm;-58 dBm;-55 dBm
-54 dBm;-54 dBm;-58 dBm;-54 dBm
-55 dBm;-52 dBm;-51 dBm;-54 dBm
-54 dBm;-55 dBm;-56 dBm;-53 dBm
-56 dBm;-72 dBm;-55 dBm;-55 dBm
-56 dBm;-55 dBm;-56 dBm;-53 dBm
-56 dBm;-54 dBm;-58 dBm;-53 dBm
-58 dBm;-55 dBm;-58 dBm;-54 dBm
-54 dBm;-55 dBm;-58 dBm;-55 dBm
-54 dBm;-54 dBm;-58 dBm;-55 dBm
-57 dBm;-55 dBm;-53 dBm;-55 dBm
-57 dBm;-53 dBm;-52 dBm;-54 dBm
-54 dBm;-52 dBm;-55 dBm;-54 dBm
-53 dBm;-54 dBm;-53 dBm;-54 dBm
-55 dBm;-54 dBm;-52 dBm;-54 dBm
-54 dBm;-55 dBm;-54 dBm;-55 dBm
-53 dBm;-54 dBm;-57 dBm;-52 dBm
-55 dBm;-56 dBm;-53 dBm;-55 dBm
-55 dBm;-52 dBm;-55 dBm;-57 dBm
-54 dBm;-54 dBm;-54 dBm;-57 dBm
-53 dBm;-53 dBm;-54 dBm;-52 dBm
-55 dBm;-69 dBm;-56 dBm;-53 dBm
-54 dBm;-55 dBm;-56 dBm;-53 dBm
-55 dBm;-54 dBm;-57 dBm;-53 dBm
-55 dBm;-55 dBm;-53 dBm;-54 dBm
-55 dBm;-55 dBm;-54 dBm;-53 dBm
-55 dBm;-54 dBm;-55 dBm;-55 dBm
-55 dBm;-54 dBm;-55 dBm;-55 dBm
-55 dBm;-55 dBm;-53 dBm;-68 dBm
-54 dBm;-55 dBm;-55 dBm;-57 dBm
-55 dBm;-52 dBm;-57 dBm;-54 dBm
-54 dBm;-53 dBm;-57 dBm;-57 dBm
-55 dBm;-55 dBm;-58 dBm;-53 dBm
-54 dBm;-54 dBm;-58 dBm;-58 dBm
-52 dBm;-54 dBm;-52 dBm;-57 dBm
-54 dBm;-55 dBm;-56 dBm;-58 dBm
-54 dBm;-54 dBm;-57 dBm;-58 dBm
-54 dBm;-53 dBm;-57 dBm;-52 dBm
-56 dBm;-53 dBm;-55 dBm;-88 dBm
-55 dBm;-54 dBm;-53 dBm;-55 dBm
-56 dBm;-55 dBm;-52 dBm;-52 dBm
-56 dBm;-72 dBm;-89 dBm;-55 dBm
-55 dBm;-55 dBm;-55 dBm;-72 dBm
-53 dBm;-54 dBm;-58 dBm;-57 dBm
-56 dBm;-69 dBm;-52 dBm;-58 dBm
-56 dBm;-54 dBm;-54 dBm;-52 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-51 dBm;-57 dBm;-55 dBm
-55 dBm;-54 dBm;-58 dBm;-55 dBm
-55 dBm;-54 dBm;-57 dBm;-71 dBm
-57 dBm;-54 dBm;-57 dBm;-57 dBm
-53 dBm;-54 dBm;-52 dBm;-58 dBm
-54 dBm;-55 dBm;-55 dBm;-58 dBm
-54 dBm;-55 dBm;-56 dBm;-88 dBm
-54 dBm;-52 dBm;-52 dBm;-55 dBm
-56 dBm;-55 dBm;-52 dBm;-52 dBm
-52 dBm;-55 dBm;-53 dBm;-54 dBm
-55 dBm;-54 dBm;-54 dBm;-71 dBm
-55 dBm;-71 dBm;-54 dBm;-53 dBm
-55 dBm;-54 dBm;-55 dBm;-55 dBm
-55 dBm;-52 dBm;-56 dBm;-54 dBm
-55 dBm;-55 dBm;-56 dBm;-54 dBm
-57 dBm;-54 dBm;-57 dBm;-54 dBm
-55 dBm;-53 dBm;-57 dBm;-54 dBm
-56 dBm;-54 dBm;-58 dBm;-71 dBm
-56 dBm;-54 dBm;-57 dBm;-52 dBm
-52 dBm;-53 dBm;-51 dBm;-55 dBm
-53 dBm;-54 dBm;-54 dBm;-71 dBm
-56 dBm;-72 dBm;-53 dBm;-57 dBm
-54 dBm;-54 dBm;-57 dBm;-58 dBm
-55 dBm;-55 dBm;-53 dBm;-58 dBm
-57 dBm;-55 dBm;-54 dBm;-57 dBm
-53 dBm;-71 dBm;-55 dBm;-52 dBm
-54 dBm;-55 dBm;-56 dBm;-54 dBm
-54 dBm;-53 dBm;-58 dBm;-71 dBm
-57 dBm;-54 dBm;-54 dBm;-52 dBm
-54 dBm;-54 dBm;-57 dBm;-52 dBm
-53 dBm;-55 dBm;-58 dBm;-72 dBm
-56 dBm;-54 dBm;-59 dBm;-57 dBm
-53 dBm;-54 dBm;-58 dBm;-57 dBm
-53 dBm;-52 dBm;-58 dBm;-57 dBm
-55 dBm;-54 dBm;-53 dBm;-57 dBm
-55 dBm;-55 dBm;-55 dBm;-52 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
