"No.","Time","signal strength","Source","Destination","Info","Length"
"5","0.416708422","-54 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x0879, seq=68/17408, ttl=64 (reply in 7)","161"
"7","0.440333146","-53 dBm","192.168.1.101","192.168.1.109","Echo (ping) reply    id=0x0879, seq=68/17408, ttl=64 (request in 5)","161"
"11","0.614832679","-56 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x08ab, seq=26/6656, ttl=64 (no response found!)","161"
"12","0.616467816","-55 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x08ab, seq=26/6656, ttl=64 (reply in 13)","161"
"13","0.624105348","-56 dBm","192.168.1.101","192.168.1.105","Echo (ping) reply    id=0x08ab, seq=26/6656, ttl=64 (request in 12)","161"
"16","1.391778925","-72 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x0879, seq=69/17664, ttl=64 (no response found!)","172"
"28","1.464781661","-60 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x0879, seq=69/17664, ttl=64 (no response found!)","158"
"29","1.465851703","-60 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x0879, seq=69/17664, ttl=64 (reply in 30)","158"
"30","1.486204113","-58 dBm","192.168.1.101","192.168.1.109","Echo (ping) reply    id=0x0879, seq=69/17664, ttl=64 (request in 29)","161"
"31","1.616528995","-57 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x08ab, seq=27/6912, ttl=64 (no response found!)","161"
"32","1.616566929","-55 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x08ab, seq=27/6912, ttl=64 (no response found!)","161"
"33","1.617124660","-58 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x08ab, seq=27/6912, ttl=64 (no response found!)","158"
"34","1.618524758","-64 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x08ab, seq=27/6912, ttl=64 (no response found!)","158"
"35","1.620398144","-59 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x08ab, seq=27/6912, ttl=64 (reply in 36)","158"
"36","1.625572087","-58 dBm","192.168.1.101","192.168.1.105","Echo (ping) reply    id=0x08ab, seq=27/6912, ttl=64 (request in 35)","161"
"46","2.488335739","-65 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x0879, seq=70/17920, ttl=64 (no response found!)","158"
"47","2.489327770","-64 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x0879, seq=70/17920, ttl=64 (reply in 54)","158"
"49","2.617732725","-55 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x08ab, seq=28/7168, ttl=64 (no response found!)","161"
"50","2.618667050","-56 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x08ab, seq=28/7168, ttl=64 (no response found!)","161"
"51","2.619876610","-64 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x08ab, seq=28/7168, ttl=64 (no response found!)","158"
"52","2.619911090","-55 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x08ab, seq=28/7168, ttl=64 (reply in 53)","158"
"53","2.629074710","-57 dBm","192.168.1.101","192.168.1.105","Echo (ping) reply    id=0x08ab, seq=28/7168, ttl=64 (request in 52)","161"
"54","2.693555605","-56 dBm","192.168.1.101","192.168.1.109","Echo (ping) reply    id=0x0879, seq=70/17920, ttl=64 (request in 47)","161"
"55","2.693579708","-53 dBm","192.168.1.101","192.168.1.109","Echo (ping) reply    id=0x0879, seq=70/17920, ttl=64","161"
"59","3.392823761","-71 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x0879, seq=71/18176, ttl=64 (no response found!)","172"
"60","3.395095214","-56 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x0879, seq=71/18176, ttl=64 (no response found!)","158"
"61","3.395935597","-56 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x0879, seq=71/18176, ttl=64 (no response found!)","158"
"62","3.397093127","-56 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x0879, seq=71/18176, ttl=64 (reply in 63)","158"
"63","3.404836885","-55 dBm","192.168.1.101","192.168.1.109","Echo (ping) reply    id=0x0879, seq=71/18176, ttl=64 (request in 62)","161"
"64","3.407335146","-55 dBm","192.168.1.101","192.168.1.109","Echo (ping) reply    id=0x0879, seq=71/18176, ttl=64","161"
"65","3.407353356","-54 dBm","192.168.1.101","192.168.1.109","Echo (ping) reply    id=0x0879, seq=71/18176, ttl=64","161"
"66","3.408982396","-56 dBm","192.168.1.101","192.168.1.109","Echo (ping) reply    id=0x0879, seq=71/18176, ttl=64","161"
"67","3.409006456","-55 dBm","192.168.1.101","192.168.1.109","Echo (ping) reply    id=0x0879, seq=71/18176, ttl=64","161"
"68","3.409021681","-55 dBm","192.168.1.101","192.168.1.109","Echo (ping) reply    id=0x0879, seq=71/18176, ttl=64","161"
"72","3.619548522","-55 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x08ab, seq=29/7424, ttl=64 (no response found!)","161"
"73","3.718975246","-52 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x08ab, seq=29/7424, ttl=64 (reply in 74)","158"
"74","3.727296554","-54 dBm","192.168.1.101","192.168.1.105","Echo (ping) reply    id=0x08ab, seq=29/7424, ttl=64 (request in 73)","161"
"75","3.727322328","-53 dBm","192.168.1.101","192.168.1.105","Echo (ping) reply    id=0x08ab, seq=29/7424, ttl=64","161"
"81","4.435044213","-51 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x0879, seq=72/18432, ttl=64 (no response found!)","158"
"82","4.437163755","-51 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x0879, seq=72/18432, ttl=64 (reply in 89)","158"
"86","4.620436289","-54 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x08ab, seq=30/7680, ttl=64 (no response found!)","161"
