"No.","Time","signal strength","Source","Destination","Info","Length"
"1","0.000000000","-51 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2197/38152, ttl=64 (no response found!)","161"
"2","0.000037401","-50 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2197/38152, ttl=64 (no response found!)","161"
"3","0.000063185","-50 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2197/38152, ttl=64 (no response found!)","161"
"4","0.001135983","-51 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2197/38152, ttl=64 (no response found!)","161"
"5","0.001162546","-49 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2197/38152, ttl=64 (reply in 6)","158"
"6","0.097284768","-74 dBm","192.168.1.100","192.168.1.105","Echo (ping) reply    id=0x06f4, seq=2197/38152, ttl=64 (request in 5)","158"
"7","0.097330673","-50 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2150/26120, ttl=64 (no response found!)","161"
"8","0.097356823","-50 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2150/26120, ttl=64 (no response found!)","161"
"9","0.097381766","-50 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2150/26120, ttl=64 (no response found!)","161"
"10","0.098132164","-51 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2150/26120, ttl=64 (no response found!)","161"
"11","0.099502771","-48 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2150/26120, ttl=64 (reply in 13)","158"
"12","0.099524904","-50 dBm","192.168.1.100","192.168.1.105","Echo (ping) reply    id=0x06f4, seq=2197/38152, ttl=64","161"
"13","0.194876876","-74 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2150/26120, ttl=64 (request in 11)","158"
"14","0.197126194","-50 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2150/26120, ttl=64","161"
"15","0.197164942","-50 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2150/26120, ttl=64","161"
"16","0.197191926","-50 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2150/26120, ttl=64","161"
"17","0.197217794","-50 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2150/26120, ttl=64","161"
"18","0.197243661","-50 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2150/26120, ttl=64","161"
"19","0.696894368","-53 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2198/38408, ttl=64 (no response found!)","161"
"20","0.930202621","-50 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2198/38408, ttl=64 (no response found!)","161"
"21","0.930238952","-51 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2198/38408, ttl=64 (no response found!)","161"
"22","0.930266936","-51 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2198/38408, ttl=64 (no response found!)","161"
"23","0.930292337","-49 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2198/38408, ttl=64 (no response found!)","161"
"24","0.931572552","-50 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2198/38408, ttl=64 (reply in 25)","158"
"25","1.024969823","-73 dBm","192.168.1.100","192.168.1.105","Echo (ping) reply    id=0x06f4, seq=2198/38408, ttl=64 (request in 24)","158"
"26","1.025869809","-50 dBm","192.168.1.100","192.168.1.105","Echo (ping) reply    id=0x06f4, seq=2198/38408, ttl=64","161"
"27","1.104686144","-70 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2151/26376, ttl=64 (no response found!)","172"
"28","1.107043802","-49 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2151/26376, ttl=64 (reply in 29)","161"
"29","1.109880894","-72 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2151/26376, ttl=64 (request in 28)","158"
"30","1.219944741","-51 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2151/26376, ttl=64","161"
"31","1.697741131","-54 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2199/38664, ttl=64 (no response found!)","161"
"32","1.849552518","-51 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2199/38664, ttl=64 (no response found!)","161"
"33","1.849589111","-51 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2199/38664, ttl=64 (no response found!)","161"
"34","1.849614558","-51 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2199/38664, ttl=64 (no response found!)","161"
"35","1.850409537","-49 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2199/38664, ttl=64 (reply in 36)","161"
"36","1.852079748","-74 dBm","192.168.1.100","192.168.1.105","Echo (ping) reply    id=0x06f4, seq=2199/38664, ttl=64 (request in 35)","158"
"37","1.852117840","-52 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2199/38664, ttl=64 (reply in 38)","158"
"38","1.853421263","-50 dBm","192.168.1.100","192.168.1.105","Echo (ping) reply    id=0x06f4, seq=2199/38664, ttl=64 (request in 37)","161"
"39","2.099258896","-69 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2152/26632, ttl=64 (no response found!)","172"
"40","2.101952460","-53 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2152/26632, ttl=64 (no response found!)","161"
"41","2.101990268","-53 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2152/26632, ttl=64 (no response found!)","161"
"42","2.102704677","-54 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2152/26632, ttl=64 (no response found!)","161"
"43","2.103542185","-53 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2152/26632, ttl=64 (no response found!)","161"
"44","2.104341992","-53 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2152/26632, ttl=64 (reply in 45)","158"
"45","2.106001108","-70 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2152/26632, ttl=64 (request in 44)","158"
"46","2.107383494","-53 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2152/26632, ttl=64","161"
"47","2.699395172","-54 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2200/38920, ttl=64 (no response found!)","161"
"48","2.769535150","-53 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2200/38920, ttl=64 (no response found!)","161"
"49","2.769575740","-52 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2200/38920, ttl=64 (no response found!)","161"
"50","2.769602342","-54 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2200/38920, ttl=64 (no response found!)","161"
"51","2.770782989","-53 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2200/38920, ttl=64 (no response found!)","161"
"52","2.770818312","-54 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2200/38920, ttl=64 (reply in 53)","158"
"53","2.773006482","-75 dBm","192.168.1.100","192.168.1.105","Echo (ping) reply    id=0x06f4, seq=2200/38920, ttl=64 (request in 52)","158"
"54","2.774240865","-53 dBm","192.168.1.100","192.168.1.105","Echo (ping) reply    id=0x06f4, seq=2200/38920, ttl=64","161"
"55","3.100218633","-53 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2153/26888, ttl=64 (no response found!)","161"
"56","3.100255826","-52 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2153/26888, ttl=64 (reply in 57)","161"
"57","3.104446149","-79 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2153/26888, ttl=64 (request in 56)","158"
"58","3.104482191","-56 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2153/26888, ttl=64 (no response found!)","161"
"59","3.105372566","-54 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2153/26888, ttl=64 (no response found!)","161"
"60","3.105412941","-55 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2153/26888, ttl=64 (reply in 61)","158"
"61","3.106642849","-53 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2153/26888, ttl=64 (request in 60)","161"
"62","3.106667833","-52 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2153/26888, ttl=64","161"
"63","3.106696549","-53 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2153/26888, ttl=64","161"
"64","3.110054506","-80 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2153/26888, ttl=64","158"
"65","3.110091203","-54 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2153/26888, ttl=64","161"
"66","3.700750117","-56 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2201/39176, ttl=64 (no response found!)","161"
"67","4.088222155","-46 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2201/39176, ttl=64 (no response found!)","161"
"68","4.088245888","-47 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2201/39176, ttl=64 (no response found!)","161"
"69","4.088272655","-45 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2201/39176, ttl=64 (no response found!)","161"
"70","4.090115196","-47 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2201/39176, ttl=64 (no response found!)","161"
"71","4.090151540","-46 dBm","192.168.1.105","192.168.1.100","Echo (ping) request  id=0x06f4, seq=2201/39176, ttl=64 (reply in 72)","158"
"72","4.092637280","-77 dBm","192.168.1.100","192.168.1.105","Echo (ping) reply    id=0x06f4, seq=2201/39176, ttl=64 (request in 71)","158"
"73","4.093956712","-44 dBm","192.168.1.100","192.168.1.105","Echo (ping) reply    id=0x06f4, seq=2201/39176, ttl=64","161"
"74","4.102467089","-69 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2154/27144, ttl=64 (no response found!)","172"
"75","4.104800670","-47 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2154/27144, ttl=64 (no response found!)","161"
"76","4.104841594","-46 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2154/27144, ttl=64 (no response found!)","161"
"77","4.104857180","-47 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2154/27144, ttl=64 (no response found!)","161"
"78","4.106526180","-46 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2154/27144, ttl=64 (no response found!)","161"
"79","4.106551790","-44 dBm","192.168.1.109","192.168.1.100","Echo (ping) request  id=0x06b6, seq=2154/27144, ttl=64 (reply in 80)","158"
"80","4.108288106","-76 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2154/27144, ttl=64 (request in 79)","158"
"81","4.109541393","-76 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2154/27144, ttl=64","158"
"82","4.110722469","-77 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2154/27144, ttl=64","158"
"83","4.112019989","-77 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2154/27144, ttl=64","158"
"84","4.119396688","-77 dBm","192.168.1.100","192.168.1.109","Echo (ping) reply    id=0x06b6, seq=2154/27144, ttl=64","158"
