S1A1(4);S2A1(4);S1F1(4);S2F1(4)
-51 dBm;-50 dBm;-57 dBm;-52 dBm
-50 dBm;-50 dBm;-52 dBm;-53 dBm
-50 dBm;-50 dBm;-52 dBm;-51 dBm
-51 dBm;-51 dBm;-50 dBm;-52 dBm
-49 dBm;-48 dBm;-56 dBm;-52 dBm
-74 dBm;-74 dBm;-51 dBm;-52 dBm
-50 dBm;-50 dBm;-51 dBm;-91 dBm
-53 dBm;-50 dBm;-53 dBm;-53 dBm
-50 dBm;-50 dBm;-57 dBm;-53 dBm
-51 dBm;-50 dBm;-52 dBm;-53 dBm
-51 dBm;-50 dBm;-51 dBm;-49 dBm
-49 dBm;-70 dBm;-52 dBm;-52 dBm
-50 dBm;-49 dBm;-51 dBm;-53 dBm
-73 dBm;-72 dBm;-52 dBm;-53 dBm
-50 dBm;-51 dBm;-55 dBm;-53 dBm
-54 dBm;-69 dBm;-51 dBm;-53 dBm
-51 dBm;-53 dBm;-88 dBm;-53 dBm
-51 dBm;-53 dBm;-53 dBm;-53 dBm
-51 dBm;-54 dBm;-56 dBm;-54 dBm
-49 dBm;-53 dBm;-48 dBm;-53 dBm
-74 dBm;-53 dBm;-53 dBm;-72 dBm
-52 dBm;-70 dBm;-58 dBm;-53 dBm
-50 dBm;-53 dBm;-50 dBm;-52 dBm
-54 dBm;-53 dBm;-53 dBm;-53 dBm
-53 dBm;-52 dBm;-57 dBm;-53 dBm
-52 dBm;-79 dBm;-53 dBm;-53 dBm
-54 dBm;-56 dBm;-53 dBm;-53 dBm
-53 dBm;-54 dBm;-57 dBm;-69 dBm
-54 dBm;-55 dBm;-53 dBm;-53 dBm
-75 dBm;-53 dBm;-52 dBm;-53 dBm
-53 dBm;-52 dBm;-55 dBm;-53 dBm
-56 dBm;-53 dBm;-54 dBm;-53 dBm
-46 dBm;-80 dBm;-53 dBm;-53 dBm
-47 dBm;-54 dBm;-56 dBm;-51 dBm
-45 dBm;-69 dBm;-53 dBm;-48 dBm
-47 dBm;-47 dBm;-53 dBm;-71 dBm
-46 dBm;-46 dBm;-53 dBm;-49 dBm
-77 dBm;-47 dBm;-54 dBm;-54 dBm
-44 dBm;-46 dBm;-53 dBm;-50 dBm
-55 dBm;-44 dBm;-53 dBm;-50 dBm
-55 dBm;-76 dBm;-56 dBm;-49 dBm
-54 dBm;-76 dBm;-54 dBm;-50 dBm
-54 dBm;-77 dBm;-53 dBm;-53 dBm
-54 dBm;-77 dBm;-54 dBm;-91 dBm
-53 dBm;-77 dBm;-53 dBm;-91 dBm
-77 dBm;-78 dBm;-53 dBm;-52 dBm
-53 dBm;-77 dBm;-53 dBm;-50 dBm
-54 dBm;-48 dBm;-50 dBm;-52 dBm
-53 dBm;-47 dBm;-49 dBm;-52 dBm
-56 dBm;-48 dBm;-56 dBm;-52 dBm
-52 dBm;-47 dBm;-53 dBm;-90 dBm
-53 dBm;-47 dBm;-53 dBm;-51 dBm
-52 dBm;-48 dBm;-53 dBm;-92 dBm
-52 dBm;-47 dBm;-91 dBm;-53 dBm
-56 dBm;-46 dBm;-90 dBm;-50 dBm
-74 dBm;-46 dBm;-55 dBm;-54 dBm
-52 dBm;-70 dBm;-56 dBm;-69 dBm
-52 dBm;-53 dBm;-55 dBm;-51 dBm
-51 dBm;-53 dBm;-56 dBm;-91 dBm
-53 dBm;-51 dBm;-57 dBm;-53 dBm
-52 dBm;-69 dBm;-55 dBm;-72 dBm
-57 dBm;-77 dBm;-55 dBm;-52 dBm
-53 dBm;-76 dBm;-56 dBm;-52 dBm
-53 dBm;-76 dBm;-55 dBm;-91 dBm
-54 dBm;-77 dBm;-56 dBm;-92 dBm
-53 dBm;-76 dBm;-56 dBm;-53 dBm
-51 dBm;-75 dBm;-55 dBm;-48 dBm
-75 dBm;-76 dBm;-57 dBm;-53 dBm
-53 dBm;-74 dBm;-55 dBm;-69 dBm
-53 dBm;-53 dBm;-55 dBm;-53 dBm
-53 dBm;-54 dBm;-55 dBm;-53 dBm
-58 dBm;-52 dBm;-55 dBm;-95 dBm
-53 dBm;-53 dBm;-55 dBm;-53 dBm
-52 dBm;-53 dBm;-48 dBm;-53 dBm
-53 dBm;-55 dBm;-91 dBm;-52 dBm
-53 dBm;-76 dBm;-52 dBm;-49 dBm
-54 dBm;-54 dBm;-57 dBm;-49 dBm
-77 dBm;-53 dBm;-53 dBm;-48 dBm
-53 dBm;-54 dBm;-51 dBm;-48 dBm
-53 dBm;-73 dBm;-51 dBm;-52 dBm
-53 dBm;-53 dBm;-52 dBm;-91 dBm
-58 dBm;-54 dBm;-51 dBm;-92 dBm
-54 dBm;-53 dBm;-91 dBm;-91 dBm
