"No.","Time","signal strength","Source","Destination","Info","Length"
"2889","200.907411505","-57 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x06fd, seq=2371/17161, ttl=64 (no response found!)","161"
"2890","200.911009623","-52 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x06fd, seq=2371/17161, ttl=64 (no response found!)","158"
"2891","200.912912207","-52 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x06fd, seq=2371/17161, ttl=64 (no response found!)","158"
"2892","200.916602513","-50 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x06fd, seq=2371/17161, ttl=64 (no response found!)","158"
"2893","200.916709197","-56 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x06fd, seq=2371/17161, ttl=64 (no response found!)","161"
"2894","200.918415563","-51 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x06fd, seq=2371/17161, ttl=64 (no response found!)","158"
"2895","200.920188439","-51 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x06fd, seq=2371/17161, ttl=64 (reply in 2910)","158"
"2910","201.084704281","-53 dBm","192.168.1.101","192.168.1.105","Echo (ping) reply    id=0x06fd, seq=2371/17161, ttl=64 (request in 2895)","161"
"2918","201.724602052","-57 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x06fd, seq=2372/17417, ttl=64 (no response found!)","161"
"2919","201.727495287","-52 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x06fd, seq=2372/17417, ttl=64 (no response found!)","158"
"2920","201.729238261","-51 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x06fd, seq=2372/17417, ttl=64 (no response found!)","158"
"2921","201.730860999","-52 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x06fd, seq=2372/17417, ttl=64 (no response found!)","158"
"2922","201.733054187","-51 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x06fd, seq=2372/17417, ttl=64 (no response found!)","158"
"2924","201.735220179","-52 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x06fd, seq=2372/17417, ttl=64 (no response found!)","158"
"2927","202.360002249","-52 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x06ba, seq=2327/5897, ttl=64 (no response found!)","158"
"2928","202.361589036","-53 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x06ba, seq=2327/5897, ttl=64 (no response found!)","158"
"2929","202.363589109","-51 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x06ba, seq=2327/5897, ttl=64 (no response found!)","158"
"2930","202.365060201","-52 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x06ba, seq=2327/5897, ttl=64 (no response found!)","158"
"2931","202.369184549","-52 dBm","192.168.1.109","192.168.1.101","Echo (ping) request  id=0x06ba, seq=2327/5897, ttl=64 (no response found!)","158"
"2939","202.773678929","-55 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x06fd, seq=2373/17673, ttl=64 (no response found!)","161"
"2940","202.792033505","-51 dBm","192.168.1.105","192.168.1.101","Echo (ping) request  id=0x06fd, seq=2373/17673, ttl=64 (reply in 2941)","158"
"2941","202.804438645","-88 dBm","192.168.1.101","192.168.1.105","Echo (ping) reply    id=0x06fd, seq=2373/17673, ttl=64 (request in 2940)","158"
