"No.","Time","signal strength","Source","Destination","Info","Length"
"2","0.042791985","","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x1163, seq=6893/60698, ttl=64 (reply in 4)","162"
"3","0.042798101","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6853/50458, ttl=64 (reply in 6)","172"
"4","0.046123512","-70 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x1163, seq=6893/60698, ttl=64 (request in 2)","172"
"5","0.047445083","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x1163, seq=6893/60698, ttl=64","161"
"6","0.047461281","-69 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0cc2, seq=6853/50458, ttl=64 (request in 3)","172"
"10","0.253945052","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x1163, seq=6894/60954, ttl=64 (no response found!)","161"
"11","0.255415076","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x1163, seq=6894/60954, ttl=64 (reply in 12)","161"
"12","0.258069522","-71 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x1163, seq=6894/60954, ttl=64 (request in 11)","172"
"13","0.260113862","-52 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x1163, seq=6894/60954, ttl=64","161"
"15","0.705597055","","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0cc2, seq=6853/50458, ttl=64","162"
"16","0.706928875","-65 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6854/50714, ttl=64 (no response found!)","172"
"20","0.963437896","-51 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6854/50714, ttl=64 (reply in 21)","161"
"21","0.965066588","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0cc2, seq=6854/50714, ttl=64 (request in 20)","172"
"22","0.968003721","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0cc2, seq=6854/50714, ttl=64","161"
"23","0.968058716","-51 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0cc2, seq=6854/50714, ttl=64","161"
"24","0.968074380","-51 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0cc2, seq=6854/50714, ttl=64","161"
"25","0.968090245","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0cc2, seq=6854/50714, ttl=64","161"
"30","1.255218022","-63 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x1163, seq=6895/61210, ttl=64 (no response found!)","161"
"31","1.259331165","-51 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x1163, seq=6895/61210, ttl=64 (reply in 32)","161"
"32","1.261941794","-70 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x1163, seq=6895/61210, ttl=64 (request in 31)","172"
"33","1.263973425","-51 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x1163, seq=6895/61210, ttl=64","161"
"35","1.706562181","-51 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0cc2, seq=6854/50714, ttl=64","161"
"36","1.706587771","-51 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0cc2, seq=6854/50714, ttl=64","161"
"37","1.707319853","-62 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6855/50970, ttl=64 (no response found!)","172"
"44","2.195886021","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6855/50970, ttl=64 (no response found!)","161"
"45","2.195916238","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6855/50970, ttl=64 (no response found!)","161"
"46","2.195933096","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6855/50970, ttl=64 (no response found!)","161"
"47","2.195948794","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6855/50970, ttl=64 (no response found!)","161"
"48","2.195964611","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6855/50970, ttl=64 (no response found!)","161"
"49","2.195979888","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6855/50970, ttl=64 (no response found!)","161"
"50","2.195995828","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6855/50970, ttl=64 (no response found!)","161"
"51","2.196868170","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6855/50970, ttl=64 (reply in 52)","161"
