S1A1(5);S2A1(5);S1G1(5);S2G1(5)
-53 dBm;-70 dBm;-65 dBm;-64 dBm
-69 dBm;-53 dBm;-52 dBm;-52 dBm
-65 dBm;-62 dBm;-51 dBm;-79 dBm
-51 dBm;-53 dBm;-51 dBm;-52 dBm
-71 dBm;-71 dBm;-62 dBm;-62 dBm
-52 dBm;-52 dBm;-50 dBm;-62 dBm
-51 dBm;-63 dBm;-81 dBm;-51 dBm
-51 dBm;-51 dBm;-52 dBm;-51 dBm
-52 dBm;-70 dBm;-52 dBm;-61 dBm
-51 dBm;-51 dBm;-53 dBm;-51 dBm
-51 dBm;-59 dBm;-52 dBm;-81 dBm
-62 dBm;-52 dBm;-53 dBm;-53 dBm
-53 dBm;-53 dBm;-53 dBm;-61 dBm
-53 dBm;-52 dBm;-79 dBm;-54 dBm
-53 dBm;-52 dBm;-80 dBm;-79 dBm
-53 dBm;-72 dBm;-51 dBm;-61 dBm
-52 dBm;-52 dBm;-52 dBm;-53 dBm
-52 dBm;-62 dBm;-79 dBm;-53 dBm
-53 dBm;-62 dBm;-53 dBm;-55 dBm
-53 dBm;-61 dBm;-64 dBm;-61 dBm
-70 dBm;-54 dBm;-64 dBm;-53 dBm
-64 dBm;-54 dBm;-52 dBm;-80 dBm
-52 dBm;-71 dBm;-53 dBm;-79 dBm
-55 dBm;-55 dBm;-52 dBm;-52 dBm
-55 dBm;-60 dBm;-53 dBm;-60 dBm
-55 dBm;-52 dBm;-88 dBm;-51 dBm
-52 dBm;-51 dBm;-80 dBm;-80 dBm
-55 dBm;-52 dBm;-79 dBm;-52 dBm
-71 dBm;-72 dBm;-52 dBm;-61 dBm
-52 dBm;-53 dBm;-79 dBm;-54 dBm
-52 dBm;-60 dBm;-80 dBm;-79 dBm
-52 dBm;-51 dBm;-54 dBm;-54 dBm
-50 dBm;-72 dBm;-63 dBm;-61 dBm
-72 dBm;-51 dBm;-53 dBm;-53 dBm
-53 dBm;-62 dBm;-80 dBm;-52 dBm
-64 dBm;-61 dBm;-53 dBm;-80 dBm
-53 dBm;-71 dBm;-63 dBm;-52 dBm
-52 dBm;-54 dBm;-50 dBm;-58 dBm
