"No.","Time","signal strength","Source","Destination","Info","Length"
"1","0.000000000","-64 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=520/2050, ttl=64 (no response found!)","161"
"7","0.140734070","-52 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=520/2050, ttl=64 (reply in 8)","172"
"8","0.148136215","-79 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=520/2050, ttl=64 (request in 7)","172"
"9","0.150135216","-52 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=520/2050, ttl=64","161"
"14","0.701895975","-65 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=352/24577, ttl=64 (no response found!)","172"
"17","0.751835218","-52 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=352/24577, ttl=64 (no response found!)","161"
"18","0.751872886","-51 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=352/24577, ttl=64 (reply in 19)","161"
"19","0.760762857","-51 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=352/24577, ttl=64 (request in 18)","161"
"26","1.001384471","-62 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=521/2306, ttl=64 (no response found!)","161"
"27","1.001409964","-62 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=521/2306, ttl=64 (no response found!)","161"
"28","1.062568426","-51 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=521/2306, ttl=64 (reply in 29)","161"
"29","1.066543899","-51 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=521/2306, ttl=64 (request in 28)","161"
"34","1.704138505","-62 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=353/24833, ttl=64 (no response found!)","172"
"38","1.909872789","-50 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=353/24833, ttl=64 (reply in 39)","161"
"39","1.921053198","-81 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=353/24833, ttl=64 (request in 38)","172"
"40","2.002546402","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=522/2562, ttl=64 (no response found!)","161"
"41","2.004202971","-51 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=522/2562, ttl=64 (reply in 42)","161"
"42","2.012236619","-81 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=522/2562, ttl=64 (request in 41)","172"
"43","2.015901895","-53 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=522/2562, ttl=64","161"
"60","2.759756808","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=354/25089, ttl=64 (no response found!)","162"
"62","2.761577855","-52 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=354/25089, ttl=64 (no response found!)","161"
"63","2.761609223","","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=353/24833, ttl=64","162"
"65","2.763075029","-52 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=354/25089, ttl=64 (no response found!)","161"
"66","2.763100933","-53 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=354/25089, ttl=64 (no response found!)","161"
"67","2.763116313","-52 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=354/25089, ttl=64 (no response found!)","161"
"68","2.763131573","-53 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=354/25089, ttl=64 (no response found!)","161"
"69","2.763857161","-53 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=354/25089, ttl=64 (reply in 70)","161"
"70","2.789805925","-79 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=354/25089, ttl=64 (request in 69)","172"
"71","2.790510591","-80 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=354/25089, ttl=64","172"
"72","2.798437024","-51 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=354/25089, ttl=64","161"
