"No.","Time","signal strength","Source","Destination","Info","Length"
"1","0.000000000","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=78/19968, ttl=64","158"
"2","0.014395902","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=78/19968, ttl=64","158"
"3","0.015733957","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=78/19968, ttl=64","158"
"4","0.017104032","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=78/19968, ttl=64","158"
"5","0.024170608","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=78/19968, ttl=64","158"
"6","0.025692404","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=78/19968, ttl=64","158"
"7","0.027641874","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=78/19968, ttl=64","158"
"8","0.104666188","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=78/19968, ttl=64","158"
"9","0.115734003","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=78/19968, ttl=64","158"
"22","0.833301406","-58 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=34/8704, ttl=64 (no response found!)","161"
"23","0.838479521","-60 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=34/8704, ttl=64 (no response found!)","161"
"24","0.874456663","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=79/20224, ttl=64 (no response found!)","162"
"25","0.881594195","-55 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=79/20224, ttl=64 (reply in 27)","158"
"26","0.881634790","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=34/8704, ttl=64 (reply in 28)","158"
"27","0.977394603","-68 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=79/20224, ttl=64 (request in 25)","158"
"28","0.978928795","-67 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x085c, seq=34/8704, ttl=64 (request in 26)","158"
"29","0.984079032","-68 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x085c, seq=34/8704, ttl=64","158"
"30","0.985162823","-55 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x085c, seq=34/8704, ttl=64","161"
"34","1.718108693","-51 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=79/20224, ttl=64","158"
"35","1.719272705","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=79/20224, ttl=64","158"
"36","1.724610963","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=79/20224, ttl=64","158"
"40","1.768792407","-61 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=80/20480, ttl=64 (no response found!)","172"
"41","1.771037434","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=80/20480, ttl=64 (reply in 44)","161"
"42","1.837857614","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=35/8960, ttl=64 (no response found!)","161"
"43","1.839557043","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=35/8960, ttl=64 (reply in 45)","161"
