S1A1(6);S2A1(6);S1H2(6);S2H2(6)
-71 dBm;-58 dBm;-53 dBm;-62 dBm
-72 dBm;-60 dBm;-63 dBm;-52 dBm
-72 dBm;-54 dBm;-52 dBm;-47 dBm
-72 dBm;-67 dBm;-46 dBm;-51 dBm
-71 dBm;-68 dBm;-52 dBm;-50 dBm
-72 dBm;-55 dBm;-54 dBm;-51 dBm
-71 dBm;-62 dBm;-45 dBm;-52 dBm
-72 dBm;-52 dBm;-50 dBm;-59 dBm
-71 dBm;-69 dBm;-55 dBm;-53 dBm
-55 dBm;-51 dBm;-39 dBm;-46 dBm
-68 dBm;-62 dBm;-55 dBm;-63 dBm
-51 dBm;-61 dBm;-50 dBm;-55 dBm
-53 dBm;-55 dBm;-52 dBm;-47 dBm
-52 dBm;-62 dBm;-53 dBm;-54 dBm
-61 dBm;-69 dBm;-63 dBm;-62 dBm
-52 dBm;-54 dBm;-63 dBm;-55 dBm
-68 dBm;-63 dBm;-55 dBm;-55 dBm
-51 dBm;-55 dBm;-55 dBm;-46 dBm
-64 dBm;-71 dBm;-54 dBm;-54 dBm
-63 dBm;-54 dBm;-53 dBm;-63 dBm
-63 dBm;-63 dBm;-46 dBm;-46 dBm
-50 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-70 dBm;-63 dBm;-54 dBm
-51 dBm;-54 dBm;-54 dBm;-47 dBm
-53 dBm;-62 dBm;-46 dBm;-55 dBm
-63 dBm;-53 dBm;-52 dBm;-53 dBm
-70 dBm;-69 dBm;-63 dBm;-51 dBm
-55 dBm;-55 dBm;-54 dBm;-62 dBm
-63 dBm;-62 dBm;-47 dBm;-54 dBm
-69 dBm;-54 dBm;-53 dBm;-47 dBm
-56 dBm;-55 dBm;-52 dBm;-48 dBm
-63 dBm;-70 dBm;-54 dBm;-55 dBm
-54 dBm;-55 dBm;-53 dBm;-61 dBm
-52 dBm;-55 dBm;-62 dBm;-55 dBm
-63 dBm;-62 dBm;-53 dBm;-47 dBm
-53 dBm;-55 dBm;-47 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-63 dBm
-54 dBm;-54 dBm;-63 dBm;-55 dBm
-54 dBm;-63 dBm;-63 dBm;-55 dBm
-53 dBm;-55 dBm;-55 dBm;-54 dBm
-54 dBm;-54 dBm;-47 dBm;-55 dBm
-54 dBm;-55 dBm;-54 dBm;-54 dBm
-70 dBm;-54 dBm;-62 dBm;-47 dBm
-53 dBm;-54 dBm;-63 dBm;-55 dBm
-54 dBm;-56 dBm;-54 dBm;-61 dBm
-62 dBm;-61 dBm;-47 dBm;-54 dBm
-70 dBm;-54 dBm;-55 dBm;-48 dBm
-70 dBm;-54 dBm;-62 dBm;-55 dBm
-71 dBm;-54 dBm;-54 dBm;-62 dBm
-71 dBm;-54 dBm;-47 dBm;-54 dBm
-70 dBm;-53 dBm;-54 dBm;-48 dBm
-70 dBm;-51 dBm;-63 dBm;-52 dBm
-71 dBm;-54 dBm;-55 dBm;-62 dBm
-71 dBm;-55 dBm;-54 dBm;-48 dBm
-71 dBm;-54 dBm;-47 dBm;-53 dBm
-72 dBm;-54 dBm;-55 dBm;-62 dBm
-72 dBm;-53 dBm;-63 dBm;-50 dBm
-72 dBm;-54 dBm;-55 dBm;-54 dBm
-72 dBm;-54 dBm;-39 dBm;-47 dBm
-72 dBm;-54 dBm;-54 dBm;-54 dBm
-72 dBm;-54 dBm;-56 dBm;-62 dBm
-62 dBm;-54 dBm;-63 dBm;-54 dBm
-55 dBm;-53 dBm;-63 dBm;-48 dBm
-52 dBm;-63 dBm;-53 dBm;-54 dBm
-56 dBm;-62 dBm;-54 dBm;-63 dBm
-54 dBm;-62 dBm;-54 dBm;-54 dBm
-54 dBm;-62 dBm;-48 dBm;-48 dBm
-55 dBm;-61 dBm;-55 dBm;-56 dBm
-56 dBm;-55 dBm;-63 dBm;-63 dBm
-71 dBm;-73 dBm;-54 dBm;-55 dBm
-71 dBm;-54 dBm;-48 dBm;-48 dBm
-71 dBm;-55 dBm;-54 dBm;-54 dBm
-71 dBm;-62 dBm;-64 dBm;-61 dBm
-72 dBm;-51 dBm;-54 dBm;-55 dBm
