"No.","Time","signal strength","Source","Destination","Info","Length"
"10","0.548238823","-62 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x085d, seq=30/7680, ttl=64 (no response found!)","161"
"11","0.585691601","-52 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x085d, seq=30/7680, ttl=64 (reply in 12)","161"
"12","0.631216140","-47 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x085d, seq=30/7680, ttl=64 (request in 11)","172"
"13","0.636065355","-51 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x085d, seq=30/7680, ttl=64","161"
"14","0.638067137","-50 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x085d, seq=30/7680, ttl=64","158"
"15","0.639729339","-51 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x085d, seq=30/7680, ttl=64","158"
"16","0.646357047","-52 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x085d, seq=30/7680, ttl=64","158"
"17","0.720700649","-53 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x070d, seq=74/18944, ttl=64","161"
"18","0.763622044","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x070d, seq=75/19200, ttl=64 (no response found!)","172"
"19","0.765190478","-52 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x070d, seq=75/19200, ttl=64 (reply in 20)","161"
"20","0.771234610","-46 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x070d, seq=75/19200, ttl=64 (request in 19)","172"
"21","0.772801170","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x070d, seq=75/19200, ttl=64","161"
"31","1.524457571","-59 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x085d, seq=31/7936, ttl=64 (no response found!)","161"
"32","1.581449767","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x085d, seq=31/7936, ttl=64 (reply in 37)","161"
"33","1.713431586","-54 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x070d, seq=76/19456, ttl=64 (reply in 38)","161"
"37","1.725223015","-46 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x085d, seq=31/7936, ttl=64 (request in 32)","172"
"38","1.730129144","-45 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x070d, seq=76/19456, ttl=64 (request in 33)","172"
"39","1.739661099","-50 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x070d, seq=76/19456, ttl=64","161"
"48","2.526259577","-63 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x085d, seq=32/8192, ttl=64 (no response found!)","161"
"49","2.534630246","-55 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x085d, seq=32/8192, ttl=64 (reply in 50)","161"
"50","2.537574954","-47 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x085d, seq=32/8192, ttl=64 (request in 49)","172"
"51","2.539677469","-54 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x085d, seq=32/8192, ttl=64","161"
"52","2.731137313","-55 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x070d, seq=77/19712, ttl=64 (reply in 53)","161"
"53","2.760552781","-39 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x070d, seq=77/19712, ttl=64 (request in 52)","172"
"54","2.768265325","-55 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x070d, seq=77/19712, ttl=64","158"
"55","2.770982515","-50 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x070d, seq=77/19712, ttl=64","158"
"56","2.772819224","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x070d, seq=77/19712, ttl=64","158"
"57","2.776849357","-53 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x070d, seq=77/19712, ttl=64","158"
