"No.","Time","signal strength","Source","Destination","Info","Length"
"14","0.111104027","-65 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=327/18177, ttl=64 (no response found!)","172"
"15","0.782738035","","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=419/41729, ttl=64 (reply in 19)","162"
"16","0.782763620","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=326/17921, ttl=64 (reply in 20)","162"
"17","0.782779693","","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=420/41985, ttl=64 (reply in 21)","162"
"18","0.782796360","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=327/18177, ttl=64 (reply in 22)","172"
"19","0.882511733","","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=419/41729, ttl=64 (request in 15)","162"
"20","0.882530742","","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=326/17921, ttl=64 (request in 16)","162"
"21","0.882547332","","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=420/41985, ttl=64 (request in 17)","162"
"22","0.882563315","-65 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=327/18177, ttl=64 (request in 18)","172"
"23","0.884526283","","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=419/41729, ttl=64","162"
"24","0.884550767","-54 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=420/41985, ttl=64","172"
"25","0.884945458","","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=419/41729, ttl=64","162"
"26","0.884971300","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=420/41985, ttl=64","172"
"27","0.885475849","","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=419/41729, ttl=64","162"
"28","0.885502882","-54 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=420/41985, ttl=64","172"
"29","0.897102834","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=421/42241, ttl=64 (no response found!)","161"
"30","0.898499516","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=421/42241, ttl=64 (reply in 34)","161"
"32","0.998180647","","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=326/17921, ttl=64","162"
"33","0.998207781","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=327/18177, ttl=64","172"
"34","0.998532772","-65 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=421/42241, ttl=64 (request in 30)","172"
"35","0.998878142","","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=326/17921, ttl=64","162"
"36","0.998904522","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=327/18177, ttl=64","172"
"37","0.999649889","","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=326/17921, ttl=64","162"
"38","0.999675562","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=327/18177, ttl=64","172"
"40","1.000448896","","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=326/17921, ttl=64","162"
"41","1.000465681","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=327/18177, ttl=64","172"
"42","1.001135672","-52 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=421/42241, ttl=64","161"
"43","1.001176837","","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=326/17921, ttl=64","162"
"44","1.001195221","-51 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=327/18177, ttl=64","172"
"45","1.001211746","","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=326/17921, ttl=64","162"
"46","1.001228312","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=327/18177, ttl=64","172"
"47","1.001932239","","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=326/17921, ttl=64","162"
"48","1.001958206","-50 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=327/18177, ttl=64","172"
"49","1.003278037","","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=326/17921, ttl=64","162"
"50","1.003298641","-51 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=327/18177, ttl=64","172"
"51","1.111219678","-61 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=328/18433, ttl=64 (no response found!)","172"
"52","1.113715146","-51 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=328/18433, ttl=64 (no response found!)","161"
"53","1.113740618","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=328/18433, ttl=64 (reply in 56)","161"
"56","1.223470215","-67 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=328/18433, ttl=64 (request in 53)","172"
"57","1.225831478","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=328/18433, ttl=64","161"
"58","1.225859933","-51 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=328/18433, ttl=64","161"
"59","1.233439923","-49 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=328/18433, ttl=64","158"
"60","1.236853365","-55 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=328/18433, ttl=64","158"
"66","1.904776815","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=422/42497, ttl=64 (no response found!)","161"
"69","2.112796755","-62 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=329/18689, ttl=64 (no response found!)","172"
"73","2.225913026","","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=422/42497, ttl=64 (reply in 75)","162"
"74","2.225947447","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=329/18689, ttl=64 (reply in 76)","172"
"75","2.327162996","-67 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=422/42497, ttl=64 (request in 73)","172"
"76","2.327476969","-65 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=329/18689, ttl=64 (request in 74)","172"
"77","2.329876134","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=422/42497, ttl=64","161"
"78","2.421138728","-55 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=329/18689, ttl=64","161"
"79","2.421167710","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=329/18689, ttl=64","161"
"80","2.421269160","-55 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=329/18689, ttl=64","161"
"81","2.421299077","-55 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=329/18689, ttl=64","161"
"82","2.421398448","-55 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=329/18689, ttl=64","161"
"83","2.898546160","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=423/42753, ttl=64 (no response found!)","161"
"88","3.113767046","-65 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=330/18945, ttl=64 (no response found!)","172"
"96","3.351676699","","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=423/42753, ttl=64 (reply in 98)","162"
"97","3.351708133","-55 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=330/18945, ttl=64 (reply in 99)","172"
"98","3.449632872","","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=423/42753, ttl=64 (request in 96)","162"
"99","3.449654181","-65 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=330/18945, ttl=64 (request in 97)","172"
"100","3.450150522","","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=423/42753, ttl=64","162"
"101","3.450175329","-63 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=330/18945, ttl=64","172"
"102","3.452393971","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=423/42753, ttl=64","161"
"103","3.546653919","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=330/18945, ttl=64","161"
"104","3.546678527","-55 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=330/18945, ttl=64","161"
"105","3.898967939","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=424/43009, ttl=64 (no response found!)","161"
"115","4.115341861","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=331/19201, ttl=64 (no response found!)","172"
"116","4.274199345","","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=424/43009, ttl=64 (reply in 118)","162"
"117","4.274225418","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=331/19201, ttl=64 (reply in 119)","172"
"118","4.379384848","","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=424/43009, ttl=64 (request in 116)","162"
"119","4.379406698","-68 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=331/19201, ttl=64 (request in 117)","172"
"120","4.381364459","-54 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=424/43009, ttl=64","161"
"121","4.675200073","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=331/19201, ttl=64","161"
"122","4.681170863","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=331/19201, ttl=64","161"
"123","4.683544738","-50 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=331/19201, ttl=64","158"
"124","4.684914021","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=331/19201, ttl=64","158"
"125","4.686583703","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=331/19201, ttl=64","158"
"126","4.688438515","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=331/19201, ttl=64","158"
"127","4.690178525","-50 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=331/19201, ttl=64","158"
"128","4.691750655","-49 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=331/19201, ttl=64","158"
"129","4.693364765","-50 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=331/19201, ttl=64","158"
"130","4.695305389","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=331/19201, ttl=64","158"
"131","4.899444800","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=425/43265, ttl=64 (no response found!)","161"
"132","4.899476633","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=425/43265, ttl=64 (no response found!)","161"
"133","4.903179452","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=425/43265, ttl=64 (no response found!)","161"
"136","5.116653634","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=332/19457, ttl=64 (no response found!)","172"
"147","5.197812756","","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=425/43265, ttl=64 (reply in 149)","162"
"148","5.197839081","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=332/19457, ttl=64 (reply in 150)","172"
"149","5.298545607","-67 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=425/43265, ttl=64 (request in 147)","172"
"150","5.298885951","-64 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=332/19457, ttl=64 (request in 148)","172"
"151","5.300931086","-51 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=425/43265, ttl=64","161"
"152","5.300968983","-51 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=332/19457, ttl=64","161"
"157","5.899482833","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=426/43521, ttl=64 (no response found!)","161"
"166","6.117598291","-55 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=426/43521, ttl=64 (reply in 169)","161"
"167","6.117661223","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=333/19713, ttl=64 (no response found!)","172"
"168","6.119857306","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=333/19713, ttl=64 (reply in 170)","161"
"169","6.219284485","-68 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=426/43521, ttl=64 (request in 166)","172"
"170","6.219670630","-65 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=333/19713, ttl=64 (request in 168)","172"
"171","6.221626242","-52 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=426/43521, ttl=64","161"
"172","6.221664603","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=333/19713, ttl=64","161"
"173","6.899249768","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=427/43777, ttl=64 (no response found!)","161"
"178","7.120017246","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=334/19969, ttl=64 (no response found!)","172"
"183","7.344377683","","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=427/43777, ttl=64 (no response found!)","162"
"184","7.344403475","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=334/19969, ttl=64 (no response found!)","172"
"185","7.344692198","","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=427/43777, ttl=64 (no response found!)","162"
"186","7.344718083","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0580, seq=334/19969, ttl=64 (reply in 192)","172"
"187","7.345767257","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=427/43777, ttl=64 (no response found!)","161"
"188","7.345791967","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=427/43777, ttl=64 (no response found!)","161"
"189","7.345807792","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=427/43777, ttl=64 (no response found!)","161"
"190","7.346685050","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0611, seq=427/43777, ttl=64 (reply in 191)","161"
"191","7.348103800","-69 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0611, seq=427/43777, ttl=64 (request in 190)","172"
"192","7.348632775","-66 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0580, seq=334/19969, ttl=64 (request in 186)","172"
