"No.","Time","signal strength","Source","Destination","Info","Length"
"1","0.000000000","-62 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0612, seq=416/40961, ttl=64 (no response found!)","161"
"2","0.002376357","-65 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=333/19713, ttl=64 (no response found!)","172"
"3","0.064723586","","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0612, seq=416/40961, ttl=64 (reply in 5)","162"
"4","0.064743561","-54 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=333/19713, ttl=64 (reply in 7)","172"
"5","0.071972381","-66 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0612, seq=416/40961, ttl=64 (request in 3)","172"
"6","0.073875495","-54 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0612, seq=416/40961, ttl=64","161"
"7","0.074276518","-67 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=333/19713, ttl=64 (request in 4)","172"
"8","0.076525062","-56 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=333/19713, ttl=64","161"
"9","0.076546543","-56 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=333/19713, ttl=64","161"
"10","0.077830562","-56 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=333/19713, ttl=64","161"
"11","0.079428718","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=333/19713, ttl=64","161"
"12","0.079448752","-55 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=333/19713, ttl=64","161"
"13","0.079473568","-56 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=333/19713, ttl=64","161"
"31","0.996924451","-61 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=334/19969, ttl=64 (no response found!)","172"
"39","1.000411362","-63 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0612, seq=417/41217, ttl=64 (no response found!)","161"
"54","1.212204706","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=334/19969, ttl=64 (reply in 61)","162"
"55","1.212225338","-52 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0612, seq=417/41217, ttl=64 (reply in 63)","172"
"61","1.353956913","-64 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=334/19969, ttl=64 (request in 54)","172"
"62","1.356076658","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=334/19969, ttl=64","161"
"63","1.356688013","-64 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0612, seq=417/41217, ttl=64 (request in 55)","172"
"64","1.357262106","-63 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0612, seq=417/41217, ttl=64","172"
"65","1.359241064","-52 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0612, seq=417/41217, ttl=64","161"
"67","2.112424255","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=335/20225, ttl=64 (reply in 70)","162"
"68","2.112451049","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0612, seq=418/41473, ttl=64 (reply in 72)","172"
"70","2.119065357","-65 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=335/20225, ttl=64 (request in 67)","172"
"71","2.121118217","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=335/20225, ttl=64","161"
"72","2.121179184","-65 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0612, seq=418/41473, ttl=64 (request in 68)","172"
"84","2.997082774","-64 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=336/20481, ttl=64 (no response found!)","172"
"85","3.000270143","-62 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0612, seq=419/41729, ttl=64 (no response found!)","161"
"86","3.034953425","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=336/20481, ttl=64 (reply in 89)","162"
"87","3.034978959","-54 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0612, seq=419/41729, ttl=64 (reply in 92)","172"
"89","3.170792282","-61 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=336/20481, ttl=64 (request in 86)","172"
"90","3.172918018","-53 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=336/20481, ttl=64","161"
"91","3.172941759","-53 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=336/20481, ttl=64","161"
"92","3.172979901","-61 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0612, seq=419/41729, ttl=64 (request in 87)","172"
"93","3.173681757","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=336/20481, ttl=64","161"
"94","3.174949943","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=336/20481, ttl=64","161"
"95","3.174991618","-53 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0612, seq=419/41729, ttl=64","161"
"106","3.996945497","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=337/20737, ttl=64 (no response found!)","172"
