"No.","Time","signal strength","Source","Destination","Info","Length"
"1","0.000000000","-63 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=98/25088, ttl=64 (no response found!)","161"
"6","0.276720378","-58 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=98/25088, ttl=64 (reply in 7)","161"
"7","0.277720847","-73 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=98/25088, ttl=64 (request in 6)","172"
"8","0.279802524","-57 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=98/25088, ttl=64","161"
"11","0.386611869","-62 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=76/19456, ttl=64 (no response found!)","172"
"12","0.388351252","-56 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=76/19456, ttl=64 (reply in 13)","161"
"13","0.389223409","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=76/19456, ttl=64 (request in 12)","172"
"14","0.390687269","-56 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=76/19456, ttl=64","161"
"15","1.001597910","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=99/25344, ttl=64 (no response found!)","161"
"18","1.132440493","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=99/25344, ttl=64 (reply in 19)","161"
"19","1.135028439","-75 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=99/25344, ttl=64 (request in 18)","172"
"20","1.136916253","-54 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=99/25344, ttl=64","161"
"24","1.393358267","-65 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=77/19712, ttl=64 (no response found!)","172"
"25","1.395626890","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=77/19712, ttl=64 (reply in 28)","161"
"28","1.396419162","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=77/19712, ttl=64 (request in 25)","172"
"29","1.398418032","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=77/19712, ttl=64","161"
"30","2.002871986","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=100/25600, ttl=64 (no response found!)","161"
"31","2.004460227","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=100/25600, ttl=64 (reply in 32)","161"
"32","2.008688763","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=100/25600, ttl=64 (request in 31)","161"
"41","2.394051221","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=78/19968, ttl=64 (no response found!)","172"
"42","2.395933812","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=78/19968, ttl=64 (reply in 43)","161"
"43","2.397253938","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=78/19968, ttl=64 (request in 42)","172"
"44","2.400959996","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=78/19968, ttl=64","161"
"45","3.004610394","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=101/25856, ttl=64 (no response found!)","161"
"48","3.062775305","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=101/25856, ttl=64 (no response found!)","161"
"49","3.062810778","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=101/25856, ttl=64 (reply in 50)","161"
"50","3.065689046","-75 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=101/25856, ttl=64 (request in 49)","172"
"51","3.067863012","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=101/25856, ttl=64","161"
"57","3.390779934","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=79/20224, ttl=64 (no response found!)","172"
"58","3.392917570","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=79/20224, ttl=64 (reply in 59)","161"
"59","3.398103999","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=79/20224, ttl=64 (request in 58)","161"
"60","4.005830150","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=102/26112, ttl=64 (no response found!)","161"
"62","4.030249432","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=102/26112, ttl=64 (no response found!)","161"
"63","4.030278476","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=102/26112, ttl=64 (reply in 64)","161"
"64","4.032342334","-75 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=102/26112, ttl=64 (request in 63)","172"
"65","4.034346208","-55 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=102/26112, ttl=64","161"
"68","4.398233767","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=80/20480, ttl=64 (no response found!)","172"
"69","4.400378960","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=80/20480, ttl=64 (reply in 70)","161"
"70","4.407335852","-74 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=80/20480, ttl=64 (request in 69)","172"
"71","4.409054316","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=80/20480, ttl=64","161"
"72","4.409608512","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=80/20480, ttl=64","161"
"73","4.411010701","-55 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=80/20480, ttl=64","161"
"74","4.411035667","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=80/20480, ttl=64","161"
"75","4.411858347","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=80/20480, ttl=64","161"
"76","4.413607044","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=80/20480, ttl=64","161"
"77","5.007272447","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=103/26368, ttl=64 (reply in 81)","161"
"81","5.215296636","-75 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=103/26368, ttl=64 (request in 77)","172"
"82","5.217467336","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=103/26368, ttl=64","161"
"86","5.397893598","-62 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=81/20736, ttl=64 (no response found!)","172"
"87","5.400522023","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=81/20736, ttl=64 (reply in 90)","161"
"90","5.402660948","-75 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=81/20736, ttl=64 (request in 87)","172"
"92","5.404638906","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=81/20736, ttl=64","161"
"93","6.008236618","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=104/26624, ttl=64 (no response found!)","161"
"98","6.136593641","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=104/26624, ttl=64 (reply in 99)","161"
"99","6.139226426","-75 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=104/26624, ttl=64 (request in 98)","172"
"100","6.141360141","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=104/26624, ttl=64","161"
"104","6.415323931","-62 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=82/20992, ttl=64 (no response found!)","172"
"105","6.417710703","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=82/20992, ttl=64 (reply in 106)","161"
"106","6.420295455","-75 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=82/20992, ttl=64 (request in 105)","172"
"107","6.422417930","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=82/20992, ttl=64","161"
"108","7.009261243","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=105/26880, ttl=64 (no response found!)","161"
"111","7.055890451","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=105/26880, ttl=64 (reply in 112)","161"
"112","7.061475174","-75 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=105/26880, ttl=64 (request in 111)","172"
"113","7.063542557","-54 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=105/26880, ttl=64","161"
"114","7.063567366","-54 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=105/26880, ttl=64","161"
