S1A1(8);S2A1(8);S1J2(8);S2J2(8)
-62 dBm;-63 dBm;-62 dBm;-63 dBm
-56 dBm;-58 dBm;-54 dBm;-57 dBm
-72 dBm;-73 dBm;-53 dBm;-57 dBm
-56 dBm;-57 dBm;-62 dBm;-62 dBm
-65 dBm;-62 dBm;-54 dBm;-54 dBm
-54 dBm;-53 dBm;-54 dBm;-54 dBm
-73 dBm;-75 dBm;-55 dBm;-61 dBm
-54 dBm;-54 dBm;-62 dBm;-53 dBm
-63 dBm;-62 dBm;-53 dBm;-77 dBm
-52 dBm;-53 dBm;-53 dBm;-55 dBm
-73 dBm;-53 dBm;-63 dBm;-54 dBm
-53 dBm;-61 dBm;-54 dBm;-61 dBm
-63 dBm;-53 dBm;-78 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-53 dBm;-75 dBm;-62 dBm;-61 dBm
-63 dBm;-53 dBm;-55 dBm;-55 dBm
-53 dBm;-61 dBm;-54 dBm;-53 dBm
-74 dBm;-53 dBm;-63 dBm;-61 dBm
-52 dBm;-52 dBm;-62 dBm;-53 dBm
-53 dBm;-75 dBm;-54 dBm;-53 dBm
-55 dBm;-55 dBm;-54 dBm;-61 dBm
-53 dBm;-62 dBm;-55 dBm;-54 dBm
-54 dBm;-75 dBm;-54 dBm;-55 dBm
-54 dBm;-53 dBm;-63 dBm;-62 dBm
-62 dBm;-61 dBm;-54 dBm;-52 dBm
-54 dBm;-54 dBm;-77 dBm;-54 dBm
-75 dBm;-75 dBm;-54 dBm;-61 dBm
-53 dBm;-53 dBm;-62 dBm;-53 dBm
-62 dBm;-61 dBm;-53 dBm;-53 dBm
-53 dBm;-53 dBm;-54 dBm;-62 dBm
-75 dBm;-75 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-53 dBm
-53 dBm;-54 dBm;-54 dBm;-61 dBm
-74 dBm;-61 dBm;-55 dBm;-61 dBm
-54 dBm;-54 dBm;-62 dBm;-53 dBm
-63 dBm;-75 dBm;-54 dBm;-54 dBm
-54 dBm;-53 dBm;-53 dBm;-51 dBm
-74 dBm;-61 dBm;-63 dBm;-52 dBm
-54 dBm;-53 dBm;-54 dBm;-53 dBm
