"No.","Time","signal strength","Source","Destination","Info","Length"
"2","0.006557427","-62 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=69/17664, ttl=64 (no response found!)","172"
"3","0.008320516","-54 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=69/17664, ttl=64 (reply in 4)","161"
"4","0.019210676","-53 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=69/17664, ttl=64 (request in 3)","161"
"5","0.218877511","-63 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=103/26368, ttl=64 (no response found!)","161"
"9","0.290315567","-57 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=103/26368, ttl=64 (reply in 10)","161"
"10","0.301419025","-57 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=103/26368, ttl=64 (request in 9)","161"
"16","1.007845207","-62 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=70/17920, ttl=64 (no response found!)","172"
"17","1.104748783","-54 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=70/17920, ttl=64 (reply in 26)","161"
"21","1.220352283","-62 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=104/26624, ttl=64 (no response found!)","161"
"22","1.221907478","-54 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=104/26624, ttl=64 (reply in 23)","161"
"23","1.249332001","-54 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=104/26624, ttl=64 (request in 22)","161"
"26","1.395667690","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=70/17920, ttl=64 (request in 17)","161"
"27","1.395683257","-55 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=70/17920, ttl=64","161"
"33","2.008779844","-62 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=71/18176, ttl=64 (no response found!)","172"
"34","2.129537018","-53 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=71/18176, ttl=64 (reply in 35)","161"
"35","2.138152811","-53 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=71/18176, ttl=64 (request in 34)","161"
"36","2.222389046","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=105/26880, ttl=64 (no response found!)","161"
"37","2.228723065","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=105/26880, ttl=64 (reply in 38)","161"
"38","2.236878332","-77 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=105/26880, ttl=64 (request in 37)","172"
"39","2.239562345","-55 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=105/26880, ttl=64","161"
"40","2.240686999","-54 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=105/26880, ttl=64","161"
"46","3.010674352","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=72/18432, ttl=64 (no response found!)","172"
"47","3.051554577","-54 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=72/18432, ttl=64 (reply in 52)","161"
"52","3.192011736","-78 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=72/18432, ttl=64 (request in 47)","172"
"53","3.194057194","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=72/18432, ttl=64","161"
"54","3.223731119","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=106/27136, ttl=64 (no response found!)","161"
"55","3.225241719","-54 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=106/27136, ttl=64 (reply in 56)","161"
"56","3.228051962","-54 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=106/27136, ttl=64 (request in 55)","161"
"61","4.011585070","-62 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=73/18688, ttl=64 (no response found!)","172"
"66","4.081431993","-55 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=73/18688, ttl=64 (reply in 67)","161"
"67","4.091858679","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=73/18688, ttl=64 (request in 66)","161"
"78","5.013519687","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=74/18944, ttl=64 (no response found!)","172"
"79","5.013983829","-62 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=74/18944, ttl=64 (no response found!)","172"
"80","5.098107516","-54 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=74/18944, ttl=64 (reply in 88)","161"
"83","5.226490249","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=108/27648, ttl=64 (no response found!)","161"
"84","5.232839250","-55 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=108/27648, ttl=64 (reply in 85)","161"
"85","5.245432182","-53 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=108/27648, ttl=64 (request in 84)","161"
"88","5.400559799","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=74/18944, ttl=64 (request in 80)","161"
"89","5.400578299","-55 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=74/18944, ttl=64","161"
"91","5.403575478","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=74/18944, ttl=64","161"
"94","6.017970166","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=75/19200, ttl=64 (no response found!)","172"
"95","6.122211962","-54 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=75/19200, ttl=64 (reply in 96)","161"
"96","6.130322599","-77 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=75/19200, ttl=64 (request in 95)","172"
"97","6.132446001","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=75/19200, ttl=64","161"
"101","6.227607496","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=109/27904, ttl=64 (no response found!)","161"
"102","6.229362035","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=109/27904, ttl=64 (reply in 103)","161"
"103","6.236877073","-53 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=109/27904, ttl=64 (request in 102)","161"
"109","7.016037758","-62 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=76/19456, ttl=64 (no response found!)","172"
"110","7.043987798","-53 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=76/19456, ttl=64 (reply in 115)","161"
"115","7.180907891","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=76/19456, ttl=64 (request in 110)","161"
