"No.","Time","signal strength","Source","Destination","Info","Length"
"14","0.254898106","-61 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=131/33536, ttl=64 (no response found!)","172"
"15","0.609868404","-60 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0c24, seq=72/18432, ttl=64 (no response found!)","161"
"16","0.609893271","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0c24, seq=72/18432, ttl=64 (no response found!)","161"
"17","0.609931439","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0c24, seq=72/18432, ttl=64 (no response found!)","161"
"18","0.666263492","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=131/33536, ttl=64 (reply in 20)","162"
"19","0.666284520","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0c24, seq=72/18432, ttl=64 (reply in 21)","172"
"20","0.671464407","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=131/33536, ttl=64 (request in 18)","158"
"21","0.675696396","-70 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0c24, seq=72/18432, ttl=64 (request in 19)","158"
"22","0.678827229","-51 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0c24, seq=72/18432, ttl=64","161"
"23","0.681181526","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=131/33536, ttl=64","161"
"24","0.681207499","-50 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=131/33536, ttl=64","161"
"35","1.251153245","-61 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=132/33792, ttl=64 (no response found!)","172"
"36","1.408840951","-51 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=132/33792, ttl=64 (no response found!)","161"
"37","1.408869094","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=132/33792, ttl=64 (no response found!)","161"
"38","1.408885326","-51 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=132/33792, ttl=64 (no response found!)","161"
"39","1.410186606","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=132/33792, ttl=64 (no response found!)","161"
"40","1.410211290","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=132/33792, ttl=64 (reply in 41)","161"
"41","1.414495236","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=132/33792, ttl=64 (request in 40)","158"
"42","1.499047955","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=132/33792, ttl=64","161"
"43","1.611110587","-60 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0c24, seq=73/18688, ttl=64 (no response found!)","161"
"44","1.612705096","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0c24, seq=73/18688, ttl=64 (reply in 45)","161"
"45","1.617734362","-71 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0c24, seq=73/18688, ttl=64 (request in 44)","158"
"46","1.617798036","-54 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0c24, seq=73/18688, ttl=64","161"
"55","2.256785983","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=133/34048, ttl=64 (no response found!)","172"
"56","2.282721311","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=133/34048, ttl=64 (reply in 57)","161"
"57","2.286567659","-75 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=133/34048, ttl=64 (request in 56)","158"
"58","2.287824293","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=133/34048, ttl=64","161"
"59","2.612280217","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0c24, seq=74/18944, ttl=64 (no response found!)","161"
"60","2.613747235","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0c24, seq=74/18944, ttl=64 (reply in 61)","161"
"61","2.617663735","-72 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0c24, seq=74/18944, ttl=64 (request in 60)","158"
"62","2.622626844","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0c24, seq=74/18944, ttl=64","161"
"71","3.254058099","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=134/34304, ttl=64 (no response found!)","172"
"72","3.254598657","-62 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=134/34304, ttl=64 (no response found!)","172"
"73","3.254888772","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=134/34304, ttl=64 (no response found!)","172"
"74","3.256306957","-51 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=134/34304, ttl=64 (reply in 75)","161"
"75","3.260097797","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64 (request in 74)","158"
"76","3.260970731","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64","158"
"77","3.262269621","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64","158"
"78","3.263219224","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64","158"
"79","3.264047996","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64","158"
"80","3.267813464","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64","158"
"81","3.269442741","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64","158"
"82","3.273337266","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64","158"
"83","3.274595391","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64","158"
"84","3.275973233","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64","158"
"85","3.277301392","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64","158"
"86","3.279625975","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64","158"
"87","3.281685075","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64","158"
"88","3.283998200","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64","158"
"89","3.292319111","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64","158"
"90","3.294171332","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=134/34304, ttl=64","161"
"91","3.613674141","-60 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0c24, seq=75/19200, ttl=64 (no response found!)","161"
"92","3.615328891","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0c24, seq=75/19200, ttl=64 (reply in 93)","161"
"93","3.618980923","-72 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0c24, seq=75/19200, ttl=64 (request in 92)","158"
"94","3.620250805","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0c24, seq=75/19200, ttl=64","161"
"103","4.266274470","-64 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=135/34560, ttl=64 (no response found!)","172"
"104","4.484669774","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0972, seq=135/34560, ttl=64 (reply in 105)","161"
"105","4.489062658","-74 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=135/34560, ttl=64 (request in 104)","158"
"106","4.573595998","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0972, seq=135/34560, ttl=64","161"
