"No.","Time","signal strength","Source","Destination","Info","Length"
"1","0.000000000","-63 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=78/19968, ttl=64 (no response found!)","161"
"2","0.123990059","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=24/6144, ttl=64 (no response found!)","162"
"3","0.124009967","-56 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=78/19968, ttl=64 (no response found!)","172"
"4","0.125236919","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=24/6144, ttl=64 (no response found!)","162"
"5","0.125258143","-56 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=78/19968, ttl=64 (no response found!)","172"
"6","0.136939645","-55 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=24/6144, ttl=64 (no response found!)","158"
"7","0.138371720","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=24/6144, ttl=64 (no response found!)","158"
"8","0.141623435","-56 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=24/6144, ttl=64 (reply in 11)","158"
"9","0.141660037","-55 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=78/19968, ttl=64 (no response found!)","158"
"10","0.141677028","-57 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=78/19968, ttl=64 (reply in 13)","158"
"11","0.225397064","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x07a1, seq=24/6144, ttl=64 (request in 8)","158"
"12","0.226671342","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x07a1, seq=24/6144, ttl=64","158"
"13","0.227719582","-73 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x093c, seq=78/19968, ttl=64 (request in 10)","158"
"14","0.227760217","-55 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x093c, seq=78/19968, ttl=64","161"
"15","0.314603628","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x07a1, seq=24/6144, ttl=64","161"
"29","0.831218121","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=25/6400, ttl=64 (no response found!)","172"
"30","1.001241493","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=79/20224, ttl=64 (no response found!)","161"
"31","1.045464311","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=25/6400, ttl=64 (no response found!)","162"
"32","1.045490942","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=79/20224, ttl=64 (no response found!)","172"
"33","1.045930871","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=25/6400, ttl=64 (no response found!)","162"
"34","1.047031055","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=25/6400, ttl=64 (no response found!)","162"
"35","1.047057319","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=79/20224, ttl=64 (no response found!)","172"
"36","1.063588404","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=25/6400, ttl=64 (no response found!)","158"
"37","1.078836585","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=25/6400, ttl=64 (reply in 41)","158"
"38","1.078874305","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=79/20224, ttl=64 (no response found!)","158"
"39","1.078893843","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=79/20224, ttl=64 (no response found!)","158"
"40","1.088349377","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=79/20224, ttl=64 (reply in 42)","158"
"41","1.164765889","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x07a1, seq=25/6400, ttl=64 (request in 37)","158"
"42","1.171213786","-71 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x093c, seq=79/20224, ttl=64 (request in 40)","158"
"43","1.174362298","-55 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x093c, seq=79/20224, ttl=64","161"
"44","1.239509006","-55 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x07a1, seq=25/6400, ttl=64","161"
"48","1.981502480","-62 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=26/6656, ttl=64 (no response found!)","172"
"49","1.993785532","-62 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=26/6656, ttl=64 (no response found!)","172"
"50","2.006123696","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=80/20480, ttl=64 (no response found!)","161"
"51","2.265763455","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=26/6656, ttl=64 (no response found!)","158"
"52","2.269585380","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=26/6656, ttl=64 (no response found!)","158"
"53","2.306737265","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=26/6656, ttl=64 (reply in 61)","158"
"54","2.310676905","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=80/20480, ttl=64 (no response found!)","158"
"55","2.311864140","-51 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=80/20480, ttl=64 (no response found!)","158"
"56","2.321082182","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=80/20480, ttl=64 (no response found!)","158"
"57","2.323693047","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=80/20480, ttl=64 (no response found!)","158"
"58","2.325409797","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=80/20480, ttl=64 (no response found!)","158"
