S1A1(10);S2A1(10);S1L2(10);S2L2(10)
-55 dBm;-63 dBm;-63 dBm;-61 dBm
-53 dBm;-56 dBm;-56 dBm;-57 dBm
-56 dBm;-56 dBm;-57 dBm;-81 dBm
-73 dBm;-55 dBm;-55 dBm;-56 dBm
-72 dBm;-57 dBm;-56 dBm;-62 dBm
-54 dBm;-73 dBm;-81 dBm;-54 dBm
-63 dBm;-55 dBm;-80 dBm;-86 dBm
-52 dBm;-61 dBm;-56 dBm;-84 dBm
-53 dBm;-53 dBm;-56 dBm;-55 dBm
-71 dBm;-53 dBm;-63 dBm;-62 dBm
-55 dBm;-54 dBm;-62 dBm;-56 dBm
-62 dBm;-53 dBm;-55 dBm;-55 dBm
-62 dBm;-53 dBm;-56 dBm;-55 dBm
-52 dBm;-71 dBm;-63 dBm;-55 dBm
-53 dBm;-55 dBm;-54 dBm;-54 dBm
-52 dBm;-62 dBm;-82 dBm;-86 dBm
-69 dBm;-53 dBm;-82 dBm;-54 dBm
-52 dBm;-51 dBm;-54 dBm;-61 dBm
-54 dBm;-52 dBm;-63 dBm;-55 dBm
-63 dBm;-52 dBm;-54 dBm;-55 dBm
-70 dBm;-52 dBm;-53 dBm;-55 dBm
-54 dBm;-53 dBm;-62 dBm;-55 dBm
-62 dBm;-53 dBm;-55 dBm;-56 dBm
-56 dBm;-72 dBm;-81 dBm;-82 dBm
-73 dBm;-62 dBm;-62 dBm;-81 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-63 dBm;-65 dBm;-54 dBm;-62 dBm
-54 dBm;-55 dBm;-54 dBm;-84 dBm
-54 dBm;-62 dBm;-54 dBm;-54 dBm
-54 dBm;-53 dBm;-55 dBm;-62 dBm
-54 dBm;-55 dBm;-54 dBm;-55 dBm
-53 dBm;-72 dBm;-63 dBm;-54 dBm
-55 dBm;-72 dBm;-62 dBm;-55 dBm
-53 dBm;-70 dBm;-54 dBm;-54 dBm
-55 dBm;-71 dBm;-83 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-81 dBm
-53 dBm;-62 dBm;-82 dBm;-62 dBm
-70 dBm;-55 dBm;-54 dBm;-54 dBm
-55 dBm;-69 dBm;-62 dBm;-86 dBm
-63 dBm;-54 dBm;-55 dBm;-89 dBm
-63 dBm;-62 dBm;-63 dBm;-54 dBm
-54 dBm;-54 dBm;-63 dBm;-62 dBm
-54 dBm;-70 dBm;-54 dBm;-63 dBm
-50 dBm;-54 dBm;-54 dBm;-53 dBm
-57 dBm;-62 dBm;-63 dBm;-82 dBm
-53 dBm;-54 dBm;-55 dBm;-84 dBm
-52 dBm;-71 dBm;-63 dBm;-62 dBm
-71 dBm;-53 dBm;-63 dBm;-54 dBm
-54 dBm;-63 dBm;-55 dBm;-82 dBm
-62 dBm;-55 dBm;-83 dBm;-84 dBm
