"No.","Time","signal strength","Source","Destination","Info","Length"
"16","0.577654414","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x079f, seq=31/7936, ttl=64 (no response found!)","172"
"17","0.622580601","-56 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x079f, seq=31/7936, ttl=64 (no response found!)","161"
"18","0.622622116","-57 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x079f, seq=31/7936, ttl=64 (no response found!)","161"
"19","0.623484491","-55 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x079f, seq=31/7936, ttl=64 (no response found!)","161"
"20","0.623523280","-56 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x079f, seq=31/7936, ttl=64 (reply in 21)","161"
"21","0.635439519","-81 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x079f, seq=31/7936, ttl=64 (request in 20)","172"
"22","0.636651609","-80 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x079f, seq=31/7936, ttl=64","172"
"23","0.662326920","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0936, seq=83/21248, ttl=64 (no response found!)","161"
"24","0.664633812","-57 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0936, seq=83/21248, ttl=64 (reply in 27)","161"
"25","0.664672460","-56 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x079f, seq=31/7936, ttl=64","161"
"26","0.664688702","-56 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x079f, seq=31/7936, ttl=64","161"
"27","0.664738334","-81 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0936, seq=83/21248, ttl=64 (request in 24)","172"
"28","0.674936469","-56 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0936, seq=83/21248, ttl=64","161"
"45","1.579703954","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x079f, seq=32/8192, ttl=64 (no response found!)","172"
"46","1.665329132","-62 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0936, seq=84/21504, ttl=64 (no response found!)","161"
"47","1.894934777","-54 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0936, seq=84/21504, ttl=64 (reply in 63)","158"
"63","2.427662946","-86 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0936, seq=84/21504, ttl=64 (request in 47)","172"
"64","2.429267979","-84 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0936, seq=84/21504, ttl=64","158"
